id,Citation,Year,Type,doi,Title,Team
ref0034,Xu et al. 2007,2007,Journal Article,10.1016/j.chemosphere.2006.07.072,QSPR/QSAR models for prediction of the physicochemical properties and biological activity of polybrominated diphenyl ethers,Xu
ref0035,Papa et a. 2009,2009,Journal Article,10.1002/qsar.200860183,"Development, Validation and Inspection of the Applicability Domain of QSPR Models for Physicochemical Properties of Polybrominated Diphenyl Ethers",Gramatica
ref0036,Sepassi and Yalkowsky 2007,2007,Journal Article,10.1021/ie061156w,Simplified estimation of the octanol?air partition coefficient,Sepassi
ref0037,Wang et al. 2008,2008,Journal Article,10.1016/j.scitotenv.2007.08.023,Prediction of supercooled liquid vapor pressures and n-octanol/air partition coefficients for polybrominated diphenyl ethers by means of molecular descriptors from DFT method ,Zeng
ref0038,Thuens et al. 2008,2008,Journal Article,10.1021/je700522f,Determination of the octanol?air partition coefficients (KOA) of fluorotelomer alcohols,Dreyer
ref0039,Fu et al. 2016,2016,Journal Article,10.1016/j.chemosphere.2016.01.013,Comparison of prediction methods for octanol-air partition coefficients of diverse organic compounds,Chen
ref0040,Taheri et al. 1991,1991,Journal Article,NA,"What Solvent Best Represents the Site of Action of Inhaled Anesthetics in Humans, Rats, and Dogs?",Eger
ref0041,Dreyer et al. 2009,2009,Journal Article,10.1021/je900082g,"Determination of octanol?air partition coefficients (KOA) of fluorotelomer acrylates, perfluoroalkyl sulfonamids, and perfluoroalkylsulfonamido ethanols",Dreyer
ref0042,Hongxia et al. 2009,2009,Journal Article,10.1016/j.chemosphere.2008.11.041,Octanol–air partition coefficients of polybrominated biphenyls,Chen
ref0043,Zhang et al. 2009,2009,Journal Article,10.1080/03601230903163590,Determination of octanol-air partition coefficients and supercooled liquid vapor pressures of organochlorine pesticides,Zhang
ref0044,Ha and Kwon 2010,2010,Journal Article,10.1021/es9035978,Determination of 1-octanol-air partition coefficient using gaseous diffusion in the air boundary layer,Kwon
ref0045,Zhao et al. 2010,2010,Journal Article,10.1016/j.chemosphere.2010.04.051,Determination and prediction of octanol–air partition coefficients of hydroxylated and methoxylated polybrominated diphenyl ethers,Chen
ref0046,Odabasi and Cetin 2012,2012,Journal Article,10.1016/j.jenvman.2012.10.010,Determination of octanol–air partition coefficients of organochlorine pesticides (OCPs) as a function of temperature: Application to air–soil exchange,Odabasi
ref0047,Xu and Kropscott 2012,2012,Journal Article,10.1021/ac202953t,Method for simultaneous determination of partition coefficients for cyclic volatile methylsiloxanes and dimethylsilanediol,Kropscott
ref0048,Liu et al. 2013,2013,Journal Article,10.1016/j.atmosenv.2013.05.068,Improved 3D-QSPR analysis of the predictive octanol–air partition coefficients of hydroxylated and methoxylated polybrominated diphenyl ethers,Liu
ref0049,Zeng et al. 2013,2013,Journal Article,10.1016/j.chemosphere.2012.12.060,QSPR modeling of n-octanol/air partition coefficients and liquid vapor pressures of polychlorinated dibenzo-p-dioxins,Zeng
ref0050,Xu and Kropscott 2013,2013,Journal Article,10.1021/je301005b,Octanol/air partition coefficients of volatile methylsiloxanes and their temperature dependence,Kropscott
ref0051,Jiao et al. 2014,2014,Journal Article,10.1186/1752-153X-8-36,QSPR study on the octanol/air partition coefficient of polybrominated diphenyl ethers by using molecular distance-edge vector index,Jiao
ref0052,Xu and Kropscott 2014,2014,Journal Article,10.1002/etc.2754,"Evaluation of the three-phase equilibrium method for measuring temperature dependence of internally consistent partition coefficients (KOW, KOA, and KAW) for volatile methylsiloxanes and trimethylsilanol",Kropscott
ref0053,Pegoraro et al. 2015,2015,Journal Article,10.1016/j.chemosphere.2015.07.035,"Measurements of octanol–air partition coefficients, vapor pressures and vaporization enthalpies of the (E) and (Z) isomers of the 2-ethylhexyl 4-methoxycinnamate as parameters of environmental impact assessment",Chiappero
ref0054,Chen et al. 2016,2016,Journal Article,10.1016/j.ecoenv.2015.10.024,Prediction of octanol-air partition coefficients for polychlorinated biphenyls (PCBs) using 3D-QSAR models,Li
ref0055,Yuan et al. 2016,2016,Journal Article,10.1016/j.ecoenv.2016.02.022,QSPR models for predicting generator-column-derived octanol/water and octanol/air partition coefficients of polychlorinated biphenyls,Yuan
ref0056,Lee and Kwon 2016,2016,Journal Article,10.1002/bkcs.10933,Evaluation of long-range transport potential of selected brominated flame retardants with measured 1-octanol–air partition coefficients,Kwon
ref0057,Shoeib and Harner 2002b,2002,Journal Article,10.1002/etc.5620210513,Using measured octanol-air partition coefficients to explain environmental partitioning of organochlorine pesticides,Harner
ref0058,Wang et al. 2017,2017,Journal Article,10.1016/j.ecoenv.2017.07.040,Determination and prediction of octanol-air partition coefficients for organophosphate flame retardants,Chen
ref0059,Jin et al. 2017,2017,Journal Article,10.1039/C6EM00626D,Development of polyparameter linear free energy relationship models for octanol–air partition coefficients of diverse chemicals,Chen
ref0060,Lei et al. 2019,2019,Journal Article,10.1021/acs.jced.9b00235,Measuring the octan-1-ol air partition coefficient of volatile organic chemicals with the variable phase ratio head space technique.,Wania
ref0061,Chen et al. 2003a,2003,Journal Article,10.1016/S0045-6535(03)00006-7,Quantitative predictive models for octanol–air partition coefficients of polybrominated diphenyl ethers at different temperatures,Chen
ref0062,Unpublished data from Tom Harner,2018,Unpublished Data,NA,NA,Harner
ref0063,Fang et al. 1997,1997,Journal Article,10.1097/00000539-199705000-00017,Anesthetic Potencies of n-Alkanols: Results of Additivity and Solubility Studies Suggest a Mechanism of Action Similar to That for Conventional Inhaled Anesthetics,Eger
ref0064,Tse and Sandler 1994,1994,Journal Article,10.1021/es00034a021,Infinite dilution activity coefficients and Henry's law coefficients of some priority water pollutants determined by a relative gas chromatographic method,Sandler
ref0065,Berti et al. 1986,1986,Journal Article,10.1039/F19868202547,Thermodynamic study of organic compounds in octan-1-ol. Processes of transfer from gas and from dilute aqueous solution,Cabani
ref0066,Cabani et al. 1991,1991,Journal Article,10.1039/FT9918702433,Free energy and enthalpy changes for the process of transfer from gas and from dilute aqueous solutions of some alkanes and monofunctional saturated organic compounds,Cabani
ref0067,Thomas et al. 1982,1982,Journal Article,10.1021/je00030a010,Limiting activity coefficients of nonpolar and polar solutes in both volatile and nonvolatile solvents by gas chromatography,Thomas
ref0068,Tewari et al. 1982,1982,Journal Article,10.6028/jres.087.011,Calculation of aqueous solubility of organic compounds,Tewari
ref0069,Bo et al. 1993,1993,Journal Article,10.1021/je00012a035,"Solubility of gases in liquids. 19. Solubility of He, Ne, Ar, Kr, Xe, N2, O2, CH4, CF4, and SF6 in normal 1-alkanols n-ClH2l+1OH (1 ? l ? 11) at 298.15 K",Battino
ref0070,Boyer and Bircher 1960,1960,Journal Article,10.1021/j100838a501,"The solubility of nitrogen, argon, methane, ethylene and ethane in normal primary alcohols",Boyer
ref0071,Wilcock et al. 1978,1978,Journal Article,10.1016/0021-9614(78)90154-4,"Solubilities of gases in liquids II. The solubilities of He, Ne, Ar, Kr, O2, N2, CO, CO2, CH4, CF4, and SF6 in n-octane 1-octanol, n-decane, and 1-decanol",Battino
ref0072,Bhatia and Sandler 1995,1995,Journal Article,10.1021/je00022a008,Temperature dependence of infinite dilution activity coefficients in octanol and octanol/water partition coefficients of some volatile halogenated organic compounds,Sandler
ref0073,Raines et al. 2004,2004,Journal Article,10.1124/jpet.104.069930,The N-methyl-D-aspartate receptor inhibitory potencies of aromatic inhaled drugs of abuse: evidence for modulation by cation-pi interactions,Raines
ref0074,Hussam and Carr 1985,1985,Journal Article,10.1021/ac00281a006,Rapid and precise method for the measurement of vapor/liquid equilibria by headspace gas chromatography,Carr
ref0075,Rohrschneider 1973,1973,Journal Article,10.1021/ac60329a023,Solvent characterization by gas-liquid partition coefficients of selected solutes,Rohrschneider
ref0076,Park et al. 1987,1987,Journal Article,10.1021/ac00142a016,Experimental reexamination of selected partition coefficients from Rohrschneider's data set,Carr
ref0077,Dallas 1995,1995,Dissertation,NA,Fundamental solvatochromic and thermodynamic studies of complex chromatographic media,Carr
ref0078,Nedyalkova et al. 2019,2019,Journal Article,10.1021/acs.jcim.9b00212,Calculating the partition coefficients of organic solvents in octanol/water and octanol/air,Nedyalkova
ref0079,Abraham and Nasehzadeh 1981,1981,Journal Article,10.1039/F19817700321,Thermodynamics of solution of gaseous tetramethyltin in 36 solvents. Comparison of experimental results with cavity-theory calculations,Abraham
ref0080,Dallas and Carr 1992,1992,Journal Article,10.1039/P29920002155,A thermodynamic and solvatochromic investigation of the effect of water on the phase-transfer properties of octan-1-ol,Carr
ref0081,Fukuchi et al. 1999,1999,Journal Article,10.1016/S0378-3812(99)00037-0,Measurement and correlation of infinite dilution activity coefficients of ethers in alkanols,Fukuchi
ref0082,Fukuchi et al. 2001,2001,Journal Article,10.1016/S0378-3812(01)00401-0,"Measurement and correlation of infinite dilution activity coefficients of bis(2,2,2-trifluoroethyl)ether in dodecane or alkanol",Fukuchi
ref0083,Castells et al. 2000,2000,Journal Article,10.1021/je990146h,Headspace gas chromatographic measurements of limiting activity coefficients of eleven alkanes in organic solvents at 25 °c. 1,Carr
ref0084,Gmehling and Menke 2007,2007,Book/Database,NA,Activity coefficients at infinite dilution. Pt. 5: C1 - C16,Gmehling
ref0085,Castells et al. 1999,1999,Journal Article,10.1021/ie990096+,Comparative study of semitheoretical models for predicting infinite dilution activity coefficients of alkanes in organic solvents,Carr
ref0086,Abraham 1982,1982,Journal Article,10.1021/ja00372a001,"Free energies, enthalpies, and entropies of solution of gaseous nonpolar nonelectrolytes in water and nonaqueous solvents. The hydrophobic effect",Abraham
ref0087,Hiatt 1998,1998,Journal Article,10.1021/ac971167m,Bioconcentration Factors for Volatile Organic Compounds in Vegetation,Hiatt
ref0088,Gerrard 1973,1973,Journal Article,10.1002/jctb.5020230102,Significance of the solubility of hydrocarbon gases in liquids in relation to the intermolecular structure of liquids and the essential pattern of data for all gases,Gerrard
ref0089,Hernandez et al. 1999,1999,Journal Article,10.1139/v99-149,Solubility of phenanthrene in organic nonelectrolyte solvents. Comparison of observed versus predicted values based upon mobile order theory,Acree
ref0090,Gerrard 1972,1972,Journal Article,10.1002/jctb.2720220509,"Solubility of hydrogen sulphide, dimethyl ether, methyl chloride and sulphur dioxide in liquids. The prediction of solubility of all gases",Gerrard
ref0091,Martin et al. 1984,1984,Journal Article,10.1002/jps.2600730211,Expanded solubility parameter approach ii: p-hydroxybenzoic acid and methyl p-hydroxybenzoate in individual solvents,Martin
ref0092,Pollack et al. 1984,1984,Journal Article,10.1063/1.448032,Solubility of xenon in liquid n?alkanols: Thermodynamic functions in simple polar liquids,Pollack
ref0093,Thomas and Eckert 1984,1984,Journal Article,10.1021/i200025a002,Prediction of limiting activity coefficients by a modified separation of cohesive energy density model and UNIFAC,Thomas
ref0094,Acree et al. 1994,1994,Journal Article,10.1016/0378-3812(94)80049-9,Thermochemical investigations of hydrogen-bonded solutions: development of a predictive equation for the solubility of anthracene in binary hydrocarbon,Acree
ref0095,Beerbower et al. 1984,1984,Journal Article,10.1002/jps.2600730210,Expanded solubility parameter approach i: naphthalene and benzoic acid in individual solvents,Martin
ref0096,De Fina et al. 2000,2000,Journal Article,10.1139/v00-040,Solubility of hexachlorobenzene in organic nonelectrolyte solvents. Comparison of observed vs. predicted values based upon Mobile Order model,Acree
ref0097,Dohnal and Vrkba 1997,1997,Journal Article,10.1016/S0378-3812(97)00008-3,"Limiting activity coefficients in the 1-alkanol + n-alkane systems: survey, critical evaluation and recommended values, interpretation in terms of association models",Dohnal
ref0098,Miller et al. 1985,1985,Journal Article,10.1021/es00136a007,Relationships between octanol-water partition coefficient and aqueous solubility,Wasik
ref0099,Pinsuwan et al. 1995,1995,Journal Article,10.1021/je00019a019,Correlation of octanol/water solubility ratios and partition coefficients,Yalkowsky
ref0100,Eikens 1993,1993,Dissertation,NA,Applicability of theoretical and semi-empirical models for predicting infinite dilution activity coefficients.,Carr
ref0101,Gardner et al. 1971,1971,Journal Article,10.1252/jcej.4.92,Diffusion of carbon dioxide into primary alcohols and methyl cellulose ether solutions,Gardner
ref0102,Ellgehausen et al. 1981,1981,Journal Article,10.1002/ps.2780120216,Reversed-phase chromatography as a general method for determining octan-1-ol/water partition coefficients,Ellgehausen
ref0103,Yalkowsky et al. 1983,1983,Journal Article,10.1002/jps.2600720808,Solubility and partitioning VI: Octanol solubility and octanol–water partition coefficients,Yalkowsky
ref0104,Gobas et al. 1988,1988,Journal Article,10.1002/jps.2600770317,A novel method for measuring membrane-water partition coefficients of hydrophobic organic chemicals: Comparison with 1-octanol–water partitioning,Mackay
ref0105,Fletcher et al. 1997,1997,Journal Article,10.1080/00319109708035912,Solubility of thianthrene in organic nonelectrolyte solvents: Comparison of observed versus predicted values based upon mobile order theory,Acree
ref0106,Powell et al. 1997,1997,Journal Article,10.1007/BF02575347,Prediction of anthracene solubilities in binary alcohol+alcohol solvent mixtures using alcohol-specific mobile order theory stability constants,Acree
ref0107,Niimi 1991,1991,Journal Article,10.1016/0043-1354(91)90182-P,"Solubility of organic chemicals in octanol, triolein and cod liver oil and relationships between solubility and partition coefficients",Niimi
ref0108,Ruelle et al. 1994,1994,Journal Article,10.1002/jps.2600830326,Hydrophobic effect at the origin of the low solubility of inert solid substances in hydrogen-bonded solvents,Ruelle
ref0109,Granberg and Rasmuson 1999,1999,Journal Article,10.1021/je990124v,Solubility of paracetamol in pure solvents,Granberg
ref0110,Chiou et al. 1982,1982,Journal Article,10.1021/es00095a005,Partitioning of organic compounds in octanol-water systems,Chiou
ref0111,Powell et al. 1994,1994,Journal Article,10.1080/00319109408030257,Solubility of pyrene in organic nonelectrolyte solvents. comparison of observed versus predicted values based upon mobile order theory,Acree
ref0112,Ramble 2019,2019,Book/Database,NA,"CRC Handbook of Chemistry and Physics, 100th Edition (Internet Version 2019)",Ramble
ref0113,Pierotti et al. 1959,1959,Journal Article,10.1021/ie50589a048,Activity coefficients and molecular structure,Pierotti
ref0114,Maaßen 1996,1996,Dissertation,NA,Experimentelle bestimmung und korrelierung von verteilungskoeffizienten in verdünnten lösungen,Maaßen
ref0115,Kohn 1988,1988,Dissertation,NA,Messung und vorausberechnung von octanol-wasser-verteilungskoeffizienten,Kohn
ref0116,Cheong 1989,1989,Dissertation,NA,Measurements of limiting activity coefficients of homologous series of solutes and their application to the study of retention mechanism in reversed phase liquid chromatography,Carr
ref0117,Ruelle et al. 1994b,1994,Journal Article,10.1016/0378-5173(94)90187-2,Prediction of carbazole solubility and its dependence upon the solvent nature,Ruelle
ref0118,Mackay et al. 1980,1980,Journal Article,10.1016/0045-6535(80)90122-8,Relationships between aqueous solubility and octanol-water partition coefficients,Yalkowsky
ref0119,Anliker and Moser 1987,1987,Journal Article,10.1016/0147-6513(87)90041-8,The limits of bioaccumulation of organic pigments in fish: Their relation to the partition coefficient and the solubility in water and octanol,Anliker
ref0120,Ruelle et al. 1992,1992,Journal Article,10.1016/0378-5173(92)90226-R,Comparison of the solubility of polycyclic aromatic hydrocarbons in non-associated and associated solvents: The hydrophobic effect,Ruelle
ref0121,Yalkowsky et al. 1994,1994,Journal Article,10.1016/0045-6535(94)90425-1,Upper II: Calculation of physical properties of the chlorobenzenes,Yalkowsky
ref0122,Kurz and Ballchmiter 1999,1999,Journal Article,10.1016/S0045-6535(98)00212-4,"Vapour pressures, aqueous solubilities, Henry's law constants, partition coefficients between gas/water (Kgw), N-octanol/water (Kow) and gas/N-octanol (Kgo) of 106 polychlorinated diphenyl ethers (PCDE)",Kurz
ref0123,Li et al. 1995,1995,Journal Article,10.1021/ie00042a026,Estimation of Solubility of Organic Compounds in 1-Octanol,Yalkowsky
ref0124,Sepassi and Yalkowsky 2006,2006,Journal Article,10.1208/pt070126,Solubility prediction in octanol: A technical note,Yalkowsky
ref0125,Lian and Yalkowsky 2014,2014,Journal Article,10.1002/jps.24033,Unified Physicochemical Property Estimation Relationships (UPPER),Yalkowsky
ref0126,US EPA 2012,2012,Book/Database,NA,PhysProp Database from Estimation Programs Interface Suite™ v4.1 with 2017 file edit,US EPA
ref0127,Yaws 2012,2012,Book/Database,NA,Yaws' Critical Property Data for Chemical Engineers and Chemists,Yaws
ref0128,Okeme et al. 2020,2020,Journal Article,10.1021/acs.jced.9b01126,Gas Chromatographic Estimation of Vapor Pressures and Octanol–Air Partition Coefficients of Semivolatile Organic Compounds of Emerging Concern,Bidleman
ref0129,Özcan 2013,2013,Dissertation,NA,Determination of gas-particle partitioning parameters and indoor air concentrations of synthetic musk compounds,Ozcan
ref0130,Vuong et al. 2020,2020,Journal Article,10.1016/j.atmosenv.2020.117461,Determining sub-cooled liquid vapor pressures and octanol-air partition coefficients for chlorinated and brominated polycyclic aromatic hydrocarbons based on gas chromatographic retention times: Application for gas/particle partitioning in air,Choi
ref0131,Taheri et al. 1993,1993,Journal Article,NA,Anesthesia by n-Alkanes Not Consistent with the Meyer-Overton Hypothesis: Determinations of the Solubilities of Alkanes in Saline and Various Lipids,Eger
ref0132,Ionescu et al. 1994,1994,Journal Article,NA,Direct Determination of Oil/Saline Partition Coefficients,Eger
ref0133,Fang et al. 1996,1996,Journal Article,NA,Anesthetic and Convulsant Properties of Aromatic Compounds and Cycloalkanes: Implications for Mechanisms of Narcosis,Eger
ref0134,Fang et al. 1997b,1997,Journal Article,NA,Convulsant Activity of Nonanesthetic Gas Combinations,Eger
ref0135,Eger et al. 1997,1997,Journal Article,NA,Minimum Alveolar Anesthetic Concentration Values for the Enantiomers of Isoflurane Differ Minimally,Eger
ref0136,Best et al. 1997,1997,Journal Article,10.1021/jp971264j,GB/SA-Based Continuum Solvation Model for Octanol,Best
ref0137,Eger et al. 1999,1999,Journal Article,10.1213/00000539-199904000-00035,Minimum Alveolar Anesthetic Concentration of Fluorinated Alkanols in Rats: Relevance to Theories of Narcosis,Eger
ref0138,Cousins and Mackay 2000,2000,Journal Article,10.1016/S0045-6535(00)00005-9,Correlating the physical–chemical properties of phthalate esters using the `three solubility' approach,Mackay
ref0139,Eger et al. 2001,2001,Journal Article,10.1097/00000539-200110000-00025,"The Convulsant and Anesthetic Properties of Cis-Trans Isomers of 1,2-Dichlorohexafluorocyclobutane and 1,2-Dichloroethylene",Eger
ref0140,Oliferenko et al. 2004,2004,Journal Article,10.1021/ci0342932,Theoretical Scales of Hydrogen Bond Acidity and Basicity for Application in QSAR/QSPR Studies and Drug Design. Partitioning of Aliphatic Compounds,Oliferenko
ref0141,Abraham et al. 2005,2005,Journal Article,10.1039/b418293f,The estimation of physicochemical properties of methyl and other alkyl naphthalenes,Abraham
ref0142,Yao et al. 2007,2007,Journal Article,10.1021/es061725r,Sources and Occurrence of Dacthal in the Canadian Atmosphere,Harner
ref0143,Nabi et al. 2014,2014,Journal Article,10.1021/es501674p,Mapping Environmental Partitioning Properties of Nonpolar Complex Mixtures by Use of GC × GC,Nabi
ref0144,Leng et al. 2015,2015,Journal Article,10.1002/2015GL063840,"Effects of temperature, pH, and ionic strength on the Henry's law constant of triethylamine",Leng
ref0145,Vikas and Chayawan 2015,2015,Journal Article,10.1016/j.chemosphere.2014.08.072,Single-descriptor based quantum-chemical QSPRs for physico-chemical properties of polychlorinated-dibenzo-p-dioxins and -dibenzo-furans (PCDD/Fs): Exploring the role of electron-correlation,Vikas
ref0146,Kim et al. 2016,2016,Journal Article,10.1016/j.envpol.2016.02.007,Predictability of physicochemical properties of polychlorinated dibenzo-p-dioxins (PCDDs) based on single-molecular descriptor models,Kim
ref0147,Yaman et al. 2020,2020,Journal Article,10.1021/acs.est.0c02823,Measurement and Modeling the Phase Partitioning of Organophosphate Esters Using Their Temperature-Dependent Octanol–Air Partition Coefficients and Vapor Pressures,Odabasi
ref0148,Giesen et al. 1997,1997,Journal Article,10.1007/s002140050283,A universal model for the quantum mechanical calculation of free energies of solvation in non-aqueous solvents,Truhlar
ref0149,Zhu et al. 1998,1998,Journal Article,10.1063/1.476521,Density functional solvation model based on CM2 atomic charges,Truhlar
ref0150,Li et al. 1999,1999,Journal Article,10.1007/s002149900004,Extension of the platform of applicability of the SM5.42R universal solvation model,Truhlar
ref0151,Duffy and Jorgensen 2000,2000,Journal Article,10.1021/ja993663t,"Prediction of Properties from Simulations:? Free Energies of Solvation in Hexadecane, Octanol, and Water",Duffy
ref0152,Roberts 2005,2005,Journal Article,10.1029/2004GL022327,Measurement of the Henry's law coefficient and first order loss rate of PAN in n?octanol,Roberts
ref0153,Zhang et al. 2016,2016,Journal Article,10.1016/j.chemosphere.2015.11.017,Novel flame retardants: Estimating the physical–chemical properties and environmental fate of 94 halogenated and organophosphate PBDE replacements,Diamond
ref0154,Mathieu 2020,2020,Journal Article,10.1016/j.chemosphere.2019.125584,QSPR versus fragment-based methods to predict octanol-air partition coefficients: Revisiting a recent comparison of both approaches,Mathieu
ref0155,Li et al. 2020,2020,Journal Article,10.1016/j.chemosphere.2019.125246,Prediction of octanol-air partition coefficients for PCBs at different ambient temperatures based on the solvation free energy and the dimer ratio,Peijnenburg
