id,chemID,Temp,KOA,KOA_Error,log_KOA,log_KOA_error,Error_Type,methID,Reliability,Comment
data000031,chem0006,25,NA,NA,10.55,-0.27,difference relative to exp value reported by: Odabasi et al. 2006,meth0037,NA,NA
data000032,chem0006,25,NA,NA,8.69,"8.57, 8.78",error propogation range,meth0045,NA,NA
data000033,chem0006,25,NA,NA,10.28,0.38,propagated error,meth0033,NA,NA
data000034,chem0007,10,NA,NA,7.97,NA,NA,meth0027,NA,NA
data000035,chem0007,25,NA,NA,8.08,NA,NA,meth0003,NA,NA
data000036,chem0007,25,NA,NA,7.4,NA,NA,meth0027,NA,NA
data000037,chem0007,25,NA,NA,7.84,0.01,difference relative to exp value reported by: Shoeib and Harner 2002,meth0037,NA,NA
data000038,chem0007,25,NA,NA,7.85,1.079,propagated error,meth0044,"chemical is too polar for methodology (Aa+Bb>0.5); A is  exp , B is  exp",NA
data000039,chem0008,25,240,NA,2.380211242,NA,NA,meth0006,NA,NA
data000040,chem0008,25,220,NA,2.342422681,NA,NA,meth0006,NA,for labelled diethyl ether (2679-89-2; Diethyl ether-d10)
data000041,chem0008,25,NA,NA,2.19,NA,NA,meth0027,NA,NA
data000042,chem0008,25,NA,NA,2.04,0.52; 0.15,difference relative to exp value reported by: Hiatt 1997; Abraham et al. 2001,meth0037,NA,NA
data000043,chem0324,25,5600,NA,3.748188027,NA,NA,meth0107,NA,NA
data000044,chem0039,25,NA,NA,2.41,0,difference relative to reported exp value,meth0034,NA,NA
data000045,chem0064,25,NA,NA,5.05,-0.14,difference relative to reported exp value,meth0034,NA,NA
data000046,chem0008,25,NA,NA,2.19,NA,NA,meth0013,NA,NA
data000047,chem0008,25,NA,NA,2.163627112,NA,NA,meth0071,NA,NA
data000048,chem0008,25,360,310,2.556302501,n=6; Error is SD,NA,meth0007,do not agree with other measurements & estimates,NA
data000049,chem0008,25,105,130,2.021189299,n=6; Error is SD,NA,meth0007,do not agree with other measurements & estimates,for labelled diethyl ether (2679-89-2; Diethyl ether-d10)
data000050,chem0009,10,NA,NA,3.76,NA,NA,meth0027,NA,NA
data000051,chem0009,20.29,2212.2,NA,3.344824388,0.025,NA,meth0005,NA,NA
data000052,chem0009,25,NA,NA,3.38,NA,NA,meth0027,NA,NA
data000053,chem0009,25,NA,NA,3.05,0.15,difference relative to exp value reported by: Abraham et al. 2001,meth0037,NA,NA
data000054,chem0071,25,NA,NA,5.58,-0.04,difference relative to reported exp value,meth0034,NA,NA
data000055,chem0070,25,NA,NA,4.43,0.07,difference relative to reported exp value,meth0034,NA,NA
data000056,chem0009,25,NA,NA,3.2,NA,NA,meth0013,NA,NA
data000057,chem0009,25,NA,NA,3.23,NA,NA,meth0005,NA,NA
data000058,chem0009,30.3,1250.5,NA,3.097083696,0.025,NA,meth0005,NA,NA
data000059,chem0009,40.4,746.3,NA,2.872913442,0.025,NA,meth0005,NA,NA
data000060,chem0009,50.28,494.8,NA,2.694429691,0.025,NA,meth0005,NA,NA
data000061,chem0010,25,NA,NA,5.22,NA,NA,meth0027,NA,NA
data000062,chem0010,25,NA,NA,3.87,0.44,difference relative to exp value reported by: Abraham et al. 2001,meth0037,NA,NA
data000063,chem0082,25,NA,NA,2.79,0.01,difference relative to reported exp value,meth0034,NA,NA
data000064,chem0361,25,NA,NA,4.76,-0.09,difference relative to reported exp value,meth0034,NA,NA
data000065,chem0010,25,NA,NA,4.31,NA,NA,meth0013,NA,NA
data000066,chem0011,25,NA,NA,3.84,NA,NA,meth0027,NA,NA
data000067,chem0011,25,NA,NA,3.77,0.64,difference relative to exp value reported by: Abraham et al. 2001,meth0037,NA,NA
data000068,chem0352,25,NA,NA,4.18,-0.28,difference relative to reported exp value,meth0034,NA,NA
data000069,chem0129,25,NA,NA,3.44,0.27,difference relative to reported exp value,meth0034,NA,NA
data000070,chem0011,25,NA,NA,4.41,NA,NA,meth0013,NA,NA
data000071,chem0012,10,NA,NA,3.3,NA,NA,meth0027,NA,NA
data000072,chem0012,20.29,945.2,NA,2.975523713,0.025,NA,meth0005,NA,NA
data000073,chem0012,25,NA,NA,2.96,NA,NA,meth0027,NA,NA
data000074,chem0012,25,NA,NA,2.84,0,difference relative to exp value reported by: Abraham et al. 2001,meth0037,NA,NA
data000075,chem0098,25,NA,NA,3.75,0.63,difference relative to reported exp value,meth0034,NA,NA
data000076,chem0019,25,NA,NA,4.34,0.03,difference relative to reported exp value,meth0034,NA,NA
data000077,chem0012,25,NA,NA,2.84,NA,NA,meth0013,NA,NA
data000078,chem0012,25,NA,NA,2.87,NA,NA,meth0005,NA,NA
data000079,chem0012,30.3,573.8,NA,2.758760544,0.025,NA,meth0005,NA,NA
data000080,chem0012,40.4,363.8,NA,2.560862695,0.025,NA,meth0005,NA,NA
data000081,chem0012,50.28,250.7,NA,2.399154334,0.025,NA,meth0005,NA,NA
data000082,chem0013,10,NA,NA,3.92,NA,NA,meth0027,NA,NA
data000083,chem0013,20.29,3432.7,NA,3.53563585,0.025,NA,meth0005,NA,NA
data000084,chem0013,25,NA,NA,3.53,NA,NA,meth0027,NA,NA
data000085,chem0013,25,NA,NA,3.07,0.31,difference relative to exp value reported by: Abraham et al. 2001,meth0037,NA,NA
data000086,chem0096,25,NA,NA,2.76,0.04,difference relative to reported exp value,meth0034,NA,NA
data000087,chem0109,25,NA,NA,5.26,0.07,difference relative to reported exp value,meth0034,NA,NA
data000088,chem0013,25,NA,NA,3.38,NA,NA,meth0013,NA,NA
data000089,chem0013,25,NA,NA,3.41,NA,NA,meth0005,NA,NA
data000090,chem0013,30.3,1841.1,NA,3.265077378,0.025,NA,meth0005,NA,NA
data000091,chem0013,40.4,1091.4,NA,3.037983949,0.025,NA,meth0005,NA,NA
data000092,chem0013,50.28,686.5,NA,2.836640542,0.025,NA,meth0005,NA,NA
data000093,chem0014,25,350,NA,2.544068044,NA,NA,meth0006,NA,"for labelled acetone (666-52-4; 2-Propanone-1,1,1,3,3,3-d6)"
data000094,chem0014,25,NA,NA,2.55,NA,NA,meth0027,NA,NA
data000095,chem0014,25,NA,NA,2.37,-0.06,difference relative to exp value reported by: Abraham et al. 2001,meth0037,NA,NA
data000096,chem0166,25,NA,NA,2.23,-0.18,difference relative to reported exp value,meth0034,NA,NA
data000097,chem0113,25,NA,NA,6,-0.17,difference relative to reported exp value,meth0034,NA,NA
data000098,chem0014,25,NA,NA,2.31,NA,NA,meth0013,NA,NA
data000099,chem0014,25,NA,NA,2.26523875,NA,NA,meth0071,NA,NA
data000100,chem0014,25,230,17,2.361727836,n=6; Error is SD,NA,meth0007,NA,"for labelled acetone (666-52-4; 2-Propanone-1,1,1,3,3,3-d6)"
data000101,chem0015,25,600,NA,2.77815125,NA,NA,meth0006,NA,NA
data000102,chem0015,25,NA,NA,2.79,NA,NA,meth0027,NA,NA
data000103,chem0015,25,NA,NA,2.48,0.32; 0.28,difference relative to exp value reported by: Abraham et al. 2001; Hiatt 1997,meth0037,NA,NA
data000104,chem0323,25,11000,NA,4.041392685,NA,NA,meth0107,NA,NA
data000105,chem0112,25,NA,NA,3.16,-0.19,difference relative to reported exp value,meth0034,NA,NA
data000106,chem0020,25,NA,NA,4.91,0.22,difference relative to reported exp value,meth0034,NA,NA
data000107,chem0015,25,NA,NA,2.8,NA,NA,meth0013,NA,NA
data000108,chem0015,25,570,45,2.755874856,n=6; Error is SD,NA,meth0007,NA,NA
data000109,chem0015,25,587.0975952,NA,2.768710302,NA,NA,meth0070,NA,NA
data000110,chem0016,25,NA,NA,5.86,NA,NA,meth0027,NA,NA
data000111,chem0016,25,NA,NA,4.91,0.05,difference relative to exp value reported by: Abraham et al. 2001,meth0037,NA,NA
data000112,chem0016,25,NA,NA,4.96,NA,NA,meth0013,NA,NA
data000113,chem0017,25,NA,NA,4.51,NA,NA,meth0027,NA,NA
data000114,chem0017,25,NA,NA,4.17,0.21,difference relative to exp value reported by: Abraham et al. 2001,meth0037,NA,NA
data000115,chem0083,25,NA,NA,3.35,0.66,difference relative to reported exp value,meth0034,NA,NA
data000116,chem0018,25,NA,NA,3.81,0.02,difference relative to reported exp value,meth0034,NA,NA
data000117,chem0017,25,NA,NA,4.38,NA,NA,meth0013,NA,NA
data000118,chem0018,10,NA,NA,4.18,NA,NA,meth0027,NA,NA
data000119,chem0018,20.29,7038.2,NA,3.847461604,0.025,NA,meth0005,NA,NA
data000120,chem0018,25,NA,NA,3.77,NA,NA,meth0027,NA,NA
data000121,chem0018,25,NA,NA,3.4,0.28,difference relative to exp value reported by: Abraham et al. 2001,meth0037,NA,NA
data000122,chem0050,25,NA,NA,4,0.17,difference relative to reported exp value,meth0034,NA,NA
data000123,chem0051,25,NA,NA,3.01,0.2,difference relative to reported exp value,meth0034,NA,NA
data000124,chem0018,25,NA,NA,3.68,NA,NA,meth0013,NA,NA
data000125,chem0018,25,NA,NA,3.71,NA,NA,meth0005,NA,NA
data000126,chem0018,30.3,3636.9,NA,3.56073136,0.025,NA,meth0005,NA,NA
data000127,chem0018,40.4,2130,NA,3.328379603,0.025,NA,meth0005,NA,NA
data000128,chem0018,50.28,1286,NA,3.109240969,0.025,NA,meth0005,NA,NA
data000129,chem0019,25,NA,NA,4.32,NA,NA,meth0027,NA,NA
data000130,chem0019,25,NA,NA,3.81,0.38,difference relative to exp value reported by: Abraham et al. 2001,meth0037,NA,NA
data000131,chem0102,25,NA,NA,4.21,0.06,difference relative to reported exp value,meth0034,NA,NA
data000132,chem0165,25,NA,NA,3.79,0.11,difference relative to reported exp value,meth0034,NA,NA
data000133,chem0019,25,NA,NA,4.19,NA,NA,meth0013,NA,NA
data000134,chem0019,25,NA,NA,3.898032651,NA,NA,meth0072,NA,NA
data000135,chem0020,25,NA,NA,4.78,NA,NA,meth0027,NA,NA
data000136,chem0020,25,NA,NA,4.22,0.47,difference relative to exp value reported by: Abraham et al. 2001,meth0037,NA,NA
data000137,chem0048,25,NA,NA,4.06,0.13,difference relative to reported exp value,meth0034,NA,NA
data000138,chem0041,25,NA,NA,3.63,0.13,difference relative to reported exp value,meth0034,NA,NA
data000139,chem0020,25,NA,NA,4.69,NA,NA,meth0013,NA,NA
data000140,chem0021,10,NA,NA,3.06,NA,NA,meth0027,NA,NA
data000141,chem0021,20.29,793.8,NA,2.899711095,0.025,NA,meth0005,NA,NA
data000142,chem0021,25,480,NA,2.681241237,NA,NA,meth0006,NA,NA
data000143,chem0021,25,530,NA,2.72427587,NA,NA,meth0006,NA,for labelled benzene (1076-43-3; Benzene-d6)
data000144,chem0021,25,NA,NA,2.77,NA,NA,meth0027,NA,NA
data000145,chem0021,25,NA,NA,2.79,-0.13; 0.01,difference relative to exp value reported by: Hiatt 1997; Abraham et al. 2001,meth0037,NA,NA
data000146,chem0371,25,4800,NA,3.681241237,NA,NA,meth0107,NA,NA
data000147,chem0085,25,NA,NA,3.49,0.3,difference relative to reported exp value,meth0034,NA,NA
data000148,chem0013,25,NA,NA,3.53,0.15,difference relative to reported exp value,meth0034,NA,NA
data000149,chem0021,25,NA,NA,2.8,NA,NA,meth0013,NA,NA
data000150,chem0021,25,NA,NA,2.81,NA,NA,meth0005,NA,NA
data000151,chem0021,25,460,80,2.662757832,n=6; Error is SD,NA,meth0007,NA,NA
data000152,chem0021,25,500,60,2.698970004,n=6; Error is SD,NA,meth0007,NA,for labelled benzene (1076-43-3; Benzene-d6)
data000153,chem0021,30.3,510.3,NA,2.707825568,0.025,NA,meth0005,NA,NA
data000154,chem0021,40.4,360.6,NA,2.557025722,0.025,NA,meth0005,NA,NA
data000155,chem0021,50.28,265.2,NA,2.42357352,0.025,NA,meth0005,NA,NA
data000156,chem0022,25,390,NA,2.591064607,NA,NA,meth0006,NA,NA
data000157,chem0022,25,NA,NA,2.64,NA,NA,meth0027,NA,NA
data000158,chem0442,25,6300,NA,3.799340549,NA,NA,meth0107,NA,NA
data000159,chem0022,25,NA,NA,2.69,0.01; -0.07,difference relative to exp value reported by: Abraham et al. 2001; Hiatt 1997,meth0037,NA,NA
data000160,chem0125,25,NA,NA,4.4,-0.12,difference relative to reported exp value,meth0034,NA,NA
data000161,chem0345,25,NA,NA,8.93,0.18,difference relative to reported exp value,meth0034,NA,NA
data000162,chem0022,25,NA,NA,2.7,NA,NA,meth0013,NA,NA
data000163,chem0022,25,420,140,2.62324929,n=6; Error is SD,NA,meth0007,NA,NA
data000164,chem0053,25,997.5582487,NA,2.998938264,NA,NA,meth0070,NA,NA
data000165,chem0022,25,480.2447547,NA,2.68146263,NA,NA,meth0070,NA,NA
data000166,chem0023,25,NA,NA,10.57,0.39,propogated error,meth0047,"chemical is too polar for methodology (Aa+Bb>0.5); A is  exp , B is  exp",NA
data000167,chem0024,10,NA,NA,10.18,NA,NA,meth0027,NA,NA
data000168,chem0024,25,NA,NA,9.81,NA,NA,meth0003,NA,NA
data000169,chem0024,25,NA,NA,9.59,NA,NA,meth0027,NA,NA
data000170,chem0024,25,NA,NA,8.55,1.55,difference relative to exp value reported by: Shoeib and Harner 2002,meth0037,NA,NA
data000171,chem0024,25,NA,NA,9.87,1.073,propagated error,meth0044,NA,NA
data000172,chem0025,10,NA,NA,9.88,NA,NA,meth0027,NA,NA
data000173,chem0025,25,NA,NA,9.45,NA,NA,meth0003,NA,NA
data000174,chem0025,25,NA,NA,9.28,NA,NA,meth0027,NA,NA
data000175,chem0025,25,NA,NA,8.18,1.5,difference relative to exp value reported by: Shoeib and Harner 2002,meth0037,NA,NA
data000176,chem0025,25,NA,NA,9.56,1.073,propagated error,meth0044,NA,NA
data000177,chem0026,25,NA,NA,-0.34,NA,NA,meth0027,NA,NA
data000178,chem0056,25,NA,NA,6.23,-0.18,difference relative to reported exp value,meth0034,NA,NA
data000179,chem0010,25,NA,NA,4.74,0.43,difference relative to reported exp value,meth0034,NA,NA
data000180,chem0027,25,NA,NA,0.5,NA,NA,meth0027,NA,NA
data000181,chem0014,25,NA,NA,2.55,0.23,difference relative to reported exp value,meth0034,NA,NA
data000182,chem0036,25,NA,NA,2.51,0.2,difference relative to reported exp value,meth0034,NA,NA
data000183,chem0027,25,NA,NA,0.42,NA,NA,meth0013,NA,NA
data000184,chem0028,25,NA,NA,0.16,NA,NA,meth0027,NA,NA
data000185,chem0076,25,NA,NA,3.91,-0.1,difference relative to reported exp value,meth0034,NA,NA
data000186,chem0021,25,NA,NA,2.76,-0.04,difference relative to reported exp value,meth0034,NA,NA
data000187,chem0029,25,11,NA,1.041392685,NA,NA,meth0006,NA,NA
data000188,chem0029,25,NA,NA,1.35,NA,NA,meth0027,NA,NA
data000189,chem0075,25,NA,NA,4.65,0.19,difference relative to reported exp value,meth0034,NA,NA
data000190,chem0332,25,NA,NA,5.96,-0.19,difference relative to reported exp value,meth0034,NA,NA
data000191,chem0029,25,13,3,1.113943352,n=6; Error is SD,NA,meth0007,NA,NA
data000192,chem0030,25,69,NA,1.838849091,NA,NA,meth0006,NA,NA
data000193,chem0030,25,NA,NA,2.18,NA,NA,meth0027,NA,NA
data000194,chem0030,25,NA,NA,2.16,-0.7; 0,difference relative to exp value reported by: Hiatt 1997; Abraham et al. 2001,meth0037,NA,NA
data000195,chem0342,25,8000,NA,3.903089987,NA,NA,meth0107,NA,NA
data000196,chem0081,25,NA,NA,1.37,-0.16,difference relative to reported exp value,meth0034,NA,NA
data000197,chem0128,25,NA,NA,3.72,0.07,difference relative to reported exp value,meth0034,NA,NA
data000198,chem0030,25,29,14,1.462397998,n=6; Error is SD,NA,meth0007,NA,NA
data000199,chem0031,25,NA,NA,2.77,NA,NA,meth0027,NA,NA
data000200,chem0031,25,NA,NA,1.9,NA,NA,meth0013,NA,NA
data000201,chem0032,25,2800,NA,3.447158031,NA,NA,meth0006,NA,"reported est KOA larger by factor of 1, based on reported KOW/KAW values"
data000202,chem0032,25,NA,NA,3.17,NA,NA,meth0027,NA,NA
data000203,chem0374,25,11000,NA,4.041392685,NA,NA,meth0107,NA,NA
data000204,chem0032,25,NA,NA,3.09,0.17; -0.02,difference relative to exp value reported by: Hiatt 1997; Abraham et al. 2001,meth0037,NA,NA
data000205,chem0126,25,NA,NA,3.21,-0.18,difference relative to reported exp value,meth0034,NA,NA
data000206,chem0005,25,NA,NA,2.77,0,difference relative to reported exp value,meth0034,NA,NA
data000207,chem0032,25,NA,NA,3.07,NA,NA,meth0013,NA,NA
data000208,chem0032,25,1800,100,3.255272505,n=6; Error is SD,NA,meth0007,NA,NA
data000209,chem0032,25,1210.196779,NA,3.082855993,NA,NA,meth0070,NA,NA
data000210,chem0033,25,NA,NA,2.13,NA,NA,meth0027,NA,NA
data000211,chem0033,25,NA,NA,2.1,0.01,difference relative to exp value reported by: Abraham et al. 2001,meth0037,NA,NA
data000212,chem0042,25,NA,NA,-1.11,-0.16,difference relative to reported exp value,meth0034,NA,NA
data000213,chem0015,25,NA,NA,2.76,-0.04,difference relative to reported exp value,meth0034,NA,NA
data000214,chem0034,25,NA,NA,0.9,NA,NA,meth0027,NA,NA
data000215,chem0029,25,NA,NA,1.31,-0.08,difference relative to reported exp value,meth0034,NA,NA
data000216,chem0148,25,NA,NA,2.72,0.16,difference relative to reported exp value,meth0034,NA,NA
data000217,chem0034,25,NA,NA,0.97,NA,NA,meth0013,NA,NA
data000218,chem0035,25,NA,NA,2.54,NA,NA,meth0027,NA,NA
data000219,chem0035,25,NA,NA,2.65,-0.06,difference relative to exp value reported by: Abraham et al. 2001,meth0037,NA,NA
data000220,chem0106,25,NA,NA,2.54,-0.17,difference relative to reported exp value,meth0034,NA,NA
data000221,chem0092,25,NA,NA,5.24,0.06,difference relative to reported exp value,meth0034,NA,NA
data000222,chem0036,25,NA,NA,2.51,NA,NA,meth0027,NA,NA
data000223,chem0036,25,NA,NA,2.44,-0.13,difference relative to exp value reported by: Abraham et al. 2001,meth0037,NA,NA
data000224,chem0107,25,NA,NA,2.59,-0.24,difference relative to reported exp value,meth0034,NA,NA
data000225,chem0032,25,NA,NA,3.32,0.25,difference relative to reported exp value,meth0034,NA,NA
data000226,chem0036,25,NA,NA,2.31,NA,NA,meth0013,NA,NA
data000227,chem0037,25,200,NA,2.301029996,NA,NA,meth0006,NA,for labelled dichloromethane (1665-00-5; Dichloromethane-d2)
data000228,chem0037,25,180,NA,2.255272505,NA,NA,meth0006,NA,NA
data000229,chem0037,25,NA,NA,2.13,NA,NA,meth0027,NA,NA
data000230,chem0037,25,NA,NA,2.12,-0.12; 0.15,difference relative to exp value reported by: Hiatt 1997; Abraham et al. 2001,meth0037,NA,NA
data000231,chem0341,25,19000,NA,4.278753601,NA,NA,meth0107,NA,NA
data000232,chem0147,25,NA,NA,3.82,-0.07,difference relative to reported exp value,meth0034,NA,NA
data000233,chem0037,25,NA,NA,2.21,-0.03,difference relative to reported exp value,meth0034,NA,NA
data000234,chem0037,25,NA,NA,2.27,NA,NA,meth0013,NA,NA
data000235,chem0037,25,98,15,1.991226076,n=6; Error is SD,NA,meth0007,NA,for labelled dichloromethane (1665-00-5; Dichloromethane-d2)
data000236,chem0037,25,100,10,2,n=6; Error is SD,NA,meth0007,NA,NA
data000237,chem0037,25,171.1194064,NA,2.233299265,NA,NA,meth0070,NA,NA
data000238,chem0038,25,NA,NA,2.17,NA,NA,meth0027,NA,NA
data000239,chem0038,25,NA,NA,2.22,0.06,difference relative to exp value reported by: Abraham et al. 2001,meth0037,NA,NA
data000240,chem0039,25,250,NA,2.397940009,NA,NA,meth0006,NA,NA
data000241,chem0039,25,NA,NA,2.43,NA,NA,meth0027,NA,NA
data000242,chem0039,25,NA,NA,2.4,-0.15: 0.01,difference relative to exp value reported by: Hiatt 1997; Abraham et al. 2001,meth0037,NA,NA
data000243,chem0103,25,319.6,NA,2.504606771,NA,NA,meth0122,NA,NA
data000244,chem0008,25,NA,NA,2.06,-0.13,difference relative to reported exp value,meth0034,NA,NA
data000245,chem0087,25,NA,NA,1.91,-0.75,difference relative to reported exp value,meth0034,NA,NA
data000246,chem0039,25,180,24,2.255272505,n=6; Error is SD,NA,meth0007,NA,NA
data000247,chem0039,25,257.6161459,NA,2.410973079,NA,NA,meth0070,NA,NA
data000248,chem0040,25,260,NA,2.414973348,NA,NA,meth0006,NA,for labelled nitromethane (13031-32-8; Nitromethane-d3)
data000249,chem0040,25,NA,NA,2.58,NA,NA,meth0027,NA,NA
data000250,chem0040,25,NA,NA,3.17,-0.65,difference relative to exp value reported by: Abraham et al. 2001,meth0037,NA,NA
data000251,chem0115,25,NA,NA,1.5,0.13,difference relative to reported exp value,meth0034,NA,NA
data000252,chem0134,25,NA,NA,2.77,0.77,difference relative to reported exp value,meth0034,NA,NA
data000253,chem0040,25,NA,NA,2.52,NA,NA,meth0013,NA,NA
data000254,chem0040,25,14,23,1.146128036,n=6; Error is SD,NA,meth0007,do not agree with other measurements,for labelled nitromethane (13031-32-8; Nitromethane-d3)
data000255,chem0041,25,NA,NA,3.78,NA,NA,meth0027,NA,NA
data000256,chem0041,25,NA,NA,3.03,0.47,difference relative to exp value reported by: Abraham et al. 2001,meth0037,NA,NA
data000257,chem0110,25,NA,NA,2.88,-0.09,difference relative to reported exp value,meth0034,NA,NA
data000258,chem0145,25,NA,NA,4.35,0.76,difference relative to reported exp value,meth0034,NA,NA
data000259,chem0041,25,NA,NA,3.328657095,NA,NA,meth0072,NA,NA
data000260,chem0042,25,NA,NA,-1.14,NA,NA,meth0027,NA,NA
data000261,chem0027,25,NA,NA,0.56,0.14,difference relative to reported exp value,meth0034,NA,NA
data000262,chem0009,25,NA,NA,3.36,0.14,difference relative to reported exp value,meth0034,NA,NA
data000263,chem0043,25,NA,NA,12.3,0.1,Std dev,meth0064,"chemical is too polar for methodology (Aa+Bb>0.5); A is  exp , B is  exp",NA
data000264,chem0044,25,NA,NA,11.9,0.07,Std dev,meth0064,"chemical is too polar for methodology (Aa+Bb>0.5); A is  est , B is  est",NA
data000265,chem0045,25,NA,NA,11.6,0.11,Std dev,meth0064,"chemical is too polar for methodology (Aa+Bb>1); A is  est , B is  est",NA
data000266,chem0046,25,NA,NA,1.92,NA,NA,meth0027,NA,NA
data000267,chem0046,25,NA,NA,2.03,0.03,difference relative to exp value reported by: Abraham et al. 2001,meth0037,NA,NA
data000268,chem0047,25,NA,NA,3.12,NA,NA,meth0027,NA,NA
data000269,chem0047,25,NA,NA,3.22,-0.35,difference relative to exp value reported by: Abraham et al. 2001,meth0037,NA,NA
data000270,chem0047,25,NA,NA,2.87,NA,NA,meth0013,NA,NA
data000271,chem0048,25,NA,NA,4.16,NA,NA,meth0027,NA,NA
data000272,chem0048,25,NA,NA,3.58,0.35,difference relative to exp value reported by: Abraham et al. 2001,meth0037,NA,NA
data000273,chem0028,25,NA,NA,0.19,-0.09,difference relative to reported exp value,meth0034,NA,NA
data000274,chem0142,25,NA,NA,2.89,0.19,difference relative to reported exp value,meth0034,NA,NA
data000275,chem0048,25,NA,NA,3.93,NA,NA,meth0013,NA,NA
data000276,chem0049,25,2100,NA,3.322219295,NA,NA,meth0006,NA,"for labelled 1,2-dichloropropane (93952-08-0; 1,2-Dichloropropane-d6)"
data000277,chem0049,25,2100,NA,3.322219295,NA,NA,meth0006,NA,NA
data000278,chem0049,25,NA,NA,2.92,NA,NA,meth0027,NA,NA
data000279,chem0049,25,NA,NA,3.07,-0.11; 1.08,difference relative to exp value reported by: Abraham et al. 2001; Hiatt 1997,meth0037,NA,NA
data000280,chem0144,25,957.8,NA,2.981274833,NA,NA,meth0122,NA,NA
data000281,chem0049,25,98,15,1.991226076,n=6; Error is SD,NA,meth0007,do not agree with other measurements,"for labelled 1,2-dichloropropane (93952-08-0; 1,2-Dichloropropane-d6)"
data000282,chem0049,25,14000,370,4.146128036,n=6; Error is SD,NA,meth0007,do not agree with other measurements,NA
data000283,chem0049,25,877.5236381,NA,2.943258824,NA,NA,meth0070,NA,NA
data000284,chem0050,10,NA,NA,4.55,NA,NA,meth0027,NA,NA
data000285,chem0050,25,NA,NA,4.04,NA,NA,meth0027,NA,NA
data000286,chem0050,25,NA,NA,3.4,0.4,difference relative to exp value reported by: Abraham et al. 2001,meth0037,NA,NA
data000287,chem0033,25,NA,NA,2.15,0.04,difference relative to reported exp value,meth0034,NA,NA
data000288,chem0035,25,NA,NA,2.54,-0.05,difference relative to reported exp value,meth0034,NA,NA
data000289,chem0050,25,NA,NA,3.749119044,NA,NA,meth0072,NA,NA
data000290,chem0050,25,NA,NA,3.84,NA,NA,meth0005,NA,NA
data000291,chem0050,30.3,4788.7,NA,3.68021763,0.025,NA,meth0005,NA,NA
data000292,chem0050,40.4,2763.6,NA,3.441475184,0.025,NA,meth0005,NA,NA
data000293,chem0050,50.28,1650.2,NA,3.217536583,0.025,NA,meth0005,NA,NA
data000294,chem0051,25,1400,NA,3.146128036,NA,NA,meth0006,NA,NA
data000295,chem0051,25,NA,NA,2.92,NA,NA,meth0027,NA,NA
