id,refID,EXP or EST,Description,Detailed Anlaysis,Error Assessment,Score,Ranking,Type,Gen_Method,Method_Bin,Method_Type,Types_of_Compounds,wet_dry_Octanol,Value_Reported_As,Value_Type,Comments,Full_Description
meth0011,ref0011,0,1,1,1,0.75,3,EST,PLS,QSPR,EST,PCDD/Fs,dry octanol,log KOA,direct,"Model stats: R2 = 0.994, Q2(cum) = 0.981","Partial least squares model for KOA was developed using 7 Molecular Orbital PACkage (MOPAC) descriptors. Data from Harner et al. 2000 (ref0010, meth0010, meth0178) were used to train and validate the model. "
meth0012,ref0012,0,1,0,1,0.5,2,EST,PLS,QSPR,EST,PAHs,dry octanol,log KOA,direct,"Model stats: R2 = 0.994, SE = 0.378","Partial least squares model for KOA was developed using an electronic descriptor for electron affinity, topological descriptors for Wiener index and edge-connectivity, and previously estimated boiling points and log water solubility.  The model was assessed using cross validation (leave-one-out). The KOA values used to calibrate the model are from Mackay and Callcott 1998. The source/method for obtaining KOA values by Mackay and Callcott (1998) is unclear, though some values appear to be estimated from the KOW and KAW."
meth0013,ref0013,1,1,0,0,0.5,2,EXP,HS & GC,HS,Static,"Hydrocarbons, halogenated",dry octanol,KOA,direct,NA,The vapour phase of a sealed thermostatic cell is sampled and analysed using GC-FID. 
meth0014,ref0013,0,1,0,1,0.5,2,EST,Triangle,QSPR,EST,"PAHs, CBs, Hydrocarbons",dry octanol,log KOA,direct,NA,Estimated KOA calculated from reported solubilities in octanol and vapour pressure from various papers
meth0015,ref0014,1,1,1,1,1,4,EXP,SPME,HS,Static,"Alkyl dinitrates, Alkyl nitrates, chlorobenzenes, PAHs",dry octanol,KOA,direct,temp: 25 ± 2 °C,The SPME fibre is inserted in a sealed container and is held above either an aqueous or octanol solution containing the analytes at various concentrations. The fibre is extracted after 1-10 minutes depending on the solutes being anlayzed. The fibres are extracted and analyzed using thermal desorption and a FID or ECD detectors. The GC response is plotted agains the concentration of the solutes in aqueous and octanol solutions. Dividing the slope for the line of best fit for the aqueous system by the slope of the octanol system gives the HLC for an octanol-air system to HLC. Dividing this value by the HLC produces the KOA. 
meth0016,ref0015,0,1,1,1,0.75,3,EST,PLS,QSPR,EST,PCDD/Fs,dry octanol,log KOA,direct,"Model stats: R2 = 0.993, Q2(cum) = 0.983, standard error of prediction 0.132, p=3.641E-38","Partial least squares model for KOA was developed using 7 Molecular Orbital PACkage (MOPAC) descriptors. Model is capable of predicting log KOA at different temperautres.  Data from Harner et al. 2000 (ref0010, meth0010, meth0178) were used to train and validate the model. "
meth0017,ref0016,0,1,1,1,0.75,3,EST,PLS,QSPR,EST,PCBs,dry octanol,log KOA,direct,"Model stats: R2 = 0.988, Q2(cum) = 0.962, standard error of prediction 0.181, p=2.716E-15","Partial least squares model for KOA was developed using 9 Molecular Orbital PACkage (MOPAC) descriptors. Data from Harner and Bidleman 1998 (ref0008) was used to train the model, and data from Zhang et al. 1999 (ref0009) was used to validate the model. "
meth0018,ref0017,1,1,1,1,1,4,EXP,FM,FM,Dynamic,PBDEs,dry octanol,log KOA,direct,"measured KOA from 15 to 45 °C, paper only reports KOA for 25 °C; raw data obtained via email from Tom Harner (koa_pbde_1 Excel File)",Fugacity meter or generator column technique applied. Same method as Harner et al. 2000. 15 mL of DCM:hexane used to for trap elution and volume reduced to 500 uL.
meth0019,ref0018,1,1,1,1,1,4,EXP,MR-SC-GC-RT,RT,Indirect,"PCNs, CBs",dry octanol,log KOA,direct,log KOA at 25 °C calculated using linear regression,SC-GC-RT technique using equation 1 in the paper. Calibration for PCNs and CBs done separately. 
meth0020,ref0019,1,1,1,1,1,4,EXP,SR-GC-RT,RT,Indirect,"PBDEs, PCBs, PCNs",dry octanol,log KOA,direct,NA,Retention times of a single compound with well established temperature dependant KOA values are ploted and as a reference compound. The relative retention time of the analytes of interest to the reference are used to estimate the KOA. Calibration with an external set of KOA values is necessary. 
meth0021,ref0020,0,1,1,1,0.75,3,EST,PLS,QSPR,EST,PCBs,dry octanol,log KOA,direct,"Model stats: R2 = 0.990, Q2(cum) = 0.976, standard error of prediction 0.187, p=1.044E-73","Partial least squares model for KOA was developed using 15 Molecular Orbital PACkage (MOPAC) descriptors, theoretical descriptors from CS ChemOffice. Model is capable of predicting log KOA at different temperautres.  Data from Harner and Bidleman 1996 (ref0002) was used to train the model, and data from Kömp and McLachlan 1997 (ref0004) was used to validate the model. Model was assessed using cross-validation."
meth0022,ref0021,0,1,1,1,0.75,3,EST,PLS,QSPR,EST,"PCNs, CBs",dry octanol,log KOA,direct,"Model stats: R2 = 0.995, Q2(cum) = 0.973, standard error of prediction 0.143, p=1.581E-21",Partial least squares model for KOA was developed using 12 Molecular Orbital PACkage (MOPAC) descriptors. Data from Harner and Bidleman 1998 (ref0008) and Harner and Mackay 1995 (ref0001) were used to train and validate the model. 
meth0023,ref0022,1,1,1,1,1,4,EXP,SR-GC-RT,RT,Indirect,Fluorinated,dry octanol,log KOA,direct,NA,Same as Wania et al. 2002 (ref0019)
meth0025,ref0024,1,1,0,0,0.5,2,EXP,FM,FM,Dynamic,PFAS,dry octanol,log KOA,direct,"measured KOA for 0, 10 and 20 °C, paper only reports KOA for 20 °C; log KOA at 25 °C calculated using linear regression; raw data obtained via email from Tom Harner (PFAs_ Mahibas)  ",Fugacity meter or generator column technique applied. Same method as Harner et al. 2000. 15 mL of 50:50 acetone and ethyl acetate to for trap elution. Analysis done via GC electron impact mass spectrometry.
meth0026,ref0007,1,1,0,0,0.5,2,EXP,MR-GC-RT,RT,Indirect,PCBs,dry octanol,log KOA,direct,NA,Relative retention times of compounds with known KOA regressed against KOA. Resulting equation used to determine the KOA for PCBs. Two regression equations used: one for congeners with IUPAC numbers lower than PCB 77 and the second for all those with numbers greater than PCB 77 
meth0027,ref0026,0,1,1,1,0.75,3,EST,Triangle,QSPR,EST,various hydrocarbons,wet octanol,log KOA,direct,"other phys-chem properties reported (Kow, HLC, etc) have no specific references",KOW and KAW thermodynamic triangle
meth0028,ref0027,0,1,1,1,0.75,3,EST,PCR,QSPR,EST,PCNs,dry octanol,log KOA,direct,"Model stats: R2 = 0.999, Q2(cv) = 0.988, standard error of prediction 0.15, p<0.0001, n = 27",Principal component regression with VARIMAX model for KOA developed using over 100 descriptors. Quantum-chemical descriptors computed with DFT level using B3LYP hybrid functional and themodynamical descriptors with B3LYP/6-311++G level through GAUSSIAN 03 package. Topological descriptors obtained using DRAGON. Training and validation data obtained from Harner and Bidleman 1998 (ref0008) and Su et al. 2002 (ref0018). Model was assessed using cross-validation.
meth0029,ref0028,0,1,0,0,0.25,1,EST,MLR,QSPR,EST,PCNs,dry octanol,log KOA,direct,"Model stats: R2 = 0.991, SE = 0.127, n=24; ","Multiple linear regression model for KOA of PCNs using molecular connectivitiy indexes. The final model uses 2 descriptors. KOA data from Harner and Bidleman 1998 (ref0008), Harner et al. 2000 (ref0010) and Harner and Shoeib 2002 (ref0017) used. There is no indication of a training set and validation set used. "
meth0030,ref0029,0,1,1,1,0.75,3,EST,MLR,QSPR,EST,"PAHs, CBs, PCNs, PCBs, PBDEs, PCDD/Fs",dry octanol,log KOA,direct,"10C Model stats: R2 = 0.999, SE = 0.207, n=60; 20C Model stats: R2 = 0.999, SE = 0.222, n=72; 30C Model stats: R2 = 0.999, SE = 0.0.223, n=58; 40C Model stats: R2 = 0.999, SE = 0.207, n=48;","Multiple linear regression model for KOA of POPs using a fragment constant approach at 10, 20, 30 and 40 C. Training data from Harner and Mackay 1995 (ref0001), Harner and Bidleman 1996 (ref0002), Shoeib and Harner 2002 (ref0007), Harner and Bidleman 1998 (ref0008), Harner et al. 2000 (ref0010), Harner and Shoeib 2002 (ref0017). Validation data from Kömp and McLachlan 1997 (ref0004), Zhang et al. 1999 (ref0009), Harner et al. 2000 (ref0010), Su et al. 2002 (ref0018), Wania et al. 2002 (ref0019). "
meth0031,ref0030,1,1,1,1,1,4,EXP,FM,FM,Dynamic,FTOHs,dry octanol,KOA,direct,Paper reports all measured log KOA values in SI; raw data for KOA values obtained via email from Tom Harner (FTOH Koa for Kai),Fugacity meter or generator column technique applied. Same method as Shoeib et al. 2004
meth0032,ref0031,1,1,0,0,0.5,2,EXP,SR-GC-RT,RT,Indirect,"PAH, carbozole",dry octanol,KOA,direct,error seems extremely low,Same as Wania et al. 2002 (ref0019)
meth0033,ref0032,1,1,0,1,0.75,3,EXP,SR-GC-RT,RT,Indirect,PAHs,dry octanol,KOA,direct,NA,Same as Wania et al. 2002 (ref0019)
meth0034,ref0033,0,1,1,1,0.75,3,EST,Triangle,QSPR,EST,"Hydrocarbons, CBs, PAHs, etc.",wet octanol,log KOA,direct,Temperature is assumed to be 25. reported exp values for KOW/KAW don't have a clear references,KOW and KAW are exp values
meth0035,ref0034,0,1,0,1,0.5,2,EST,MLR,QSPR,EST,PBDEs,dry octanol,log KOA,direct,"Model stats: R2 = 0.988, SD = 0.2178, n=22",Multiple linear regression model for KOA of PBDEs using chemical electrostatic potential  indices and physciochemical properties. Chemical electrostatic potential indices by optimizing chemical geometry via MOPAC and Gaussian98 to calculate 3D electronic density and electrostatic potential.  Physicochemical properties calculated using TSAR. The final model uses 1 descriptors: volume of the chemical and the average negative electrostatic potential on the surface of the chemical. KOA data from Wania et al. 2002 (ref0019). Model assessed using leave-one-out cross-validation analysis.
meth0036,ref0023,1,1,0,0,0.5,2,EXP,HS & GC,HS,Static,Halogenated alkanes,dry octanol,KOA,direct,NA,"A 1-2 uL  of the analyte was added to a vial containing 100-200 uL of octanol and allowed to equilibrate at 37C. The amount of chemical in the headspace is quantified using a GC with linearized electron capture
detector."
meth0037,ref0036,0,1,1,1,0.75,3,EST,Triangle,QSPR,EST,"Hydrocarbons, PCBs, CBs, PAHs, etc.",dry octanol,log KOA,direct,So and VP not listed in the paper or SI,"KOA estimated based on Soct and VP estimations. Soct is estimated from the entropy of melting and melting temperature. VP is estimated from melting and boiling temperatures, entropies of melting and boiling, and heat capacity change upon boiling."
meth0038,ref0037,0,1,1,1,0.75,3,EST,MLR,QSPR,EST,PBDEs,dry octanol,log KOA,direct,"Model stats: R2 = 0.997, RMSE = 0.062, n=22","Multiple linear regression model for KOA of PBDEs using quantum-chemical based structural parameters obtained from Gaussian98. Final model uses 3 descriptors. Training set from Wania et al. 2002 (ref0019), validation set from Harner and Shoeib (ref0017). Model assessed using leave-one-out cross-validation analysis."
meth0039,ref0038,1,1,1,1,1,4,EXP,FM,FM,Dynamic,FTOHs,dry octanol,KOA,direct,linear equation to determine KOA at other temperatures provided,"Fugacity meter or generator column technique applied. Air flow was controlled using a flow controller attached to a PC before the air passed throught the water jacket containing the generator column. The air first passed through a purification trap of XAD-2, then glass beads coated in pure cotanol, glass beads coated with the spiked octanol and finally an XAD-2 trap. Flow was measured by the flow controller, before the air entered the generator column system. The XAD-2 trap was eluted with 50 mL of acetone and volume reduced to 200 uL and analysed via GC-MS in positive chemical ionization (PCI) mode. The calculation of KOA at a given temperature also included the temperature of the air before entering the water jacket and the temperature of the air within the water jacket. "
meth0041,ref0125,0,1,1,1,0.75,3,EST,UPPER,QSPR,EST,"Hydrocarbons, PAHs",dry octanol,log KAO,direct,"Model stats: R2 = 0.95, MAE = 0.49","UPPER model uses geometric descriptors and molecular descriptors to predict a whole range of phys-chem properties. Molecular descriptors (heat of boiling and melting, molar volume and aqueous activity constant) are obtained using additive-fragment approach. Geometric properties used are related the the entropy of the molecule: molecular symmetry, flexibility and eccentricity. Phys-chem properties relate to each other linearly or via thermodynamic relationships, and eventually allows for KOA to be calculated. Model is assessed against experimental data taken from various databases."
meth0042,ref0041,1,1,1,1,1,4,EXP,FM,FM,Dynamic,"FTAs, FOSA, FOSE",dry octanol,KOA,direct,linear equation to determine KOA at other temperatures provided,Applies the same generator column technique as described in Thuens et al. 2008.
meth0043,ref0042,1,1,1,0,0.75,3,EXP,SR-GC-RT,RT,Indirect,"FTOHs, PFASs",dry octanol,KOA,direct,NA,Same as Wania et al. 2002 (ref0019)
meth0044,ref0043,1,1,1,1,1,4,EXP,SR-GC-RT,RT,Indirect,"DDT, HCH",dry octanol,log KOA,direct,NA,Same as Wania et al. 2002 (ref0019)
meth0045,ref0044,1,1,1,1,1,4,EXP,droplet kinetics,droplet,Static,PAHs,dry octanol,log KOA,direct,NA,"The desorption rate of solutes from an octanol droplet to air was measured. The octanol droplet contained an internal standard used to determine the volume and interface area of the droplet. After a given time the droplet held on the tip of a microsyringe is sampled and diluted with 50-700 uL of methanol and analysed via HPLC. By comparing the concentration of the solutes in the droplet, to the concentration of the solutes the bulk phase, at different time intervals, the desorption rate of the chemical from droplet to air can be determined. The desoprtion rate is directly related to the octanol-air partition coefficient."
meth0046,ref0045,1,1,1,1,1,4,EXP,SR-GC-RT,RT,Indirect,PBDEs,dry octanol,log KOA,direct,NA,Same as Wania et al. 2002 (ref0019)
meth0047,ref0046,1,1,1,1,1,4,EXP,SR-GC-RT,RT,Indirect,Cyclodienes,dry octanol,log KOA,direct,NA,Same as Wania et al. 2002 (ref0019)
meth0048,ref0047,1,1,1,1,1,4,EXP,2P-Eqbm,Eqbm,Static,Organosiloxanes,dry octanol,log KOA,direct,"KOA reported in text, referencing a poster from a 2007 SETAC NA meeting","Both a 2-phase and 3-phase equilibrium systems were established using a custom apparatus made from 2 glass syringes where the air phases of both syringes were connected with an open valve. Each phase was sampled and analysed using reverse phase (normal phase for DMSD) high performance liquid chromatography radiometric detector (RP/NP HPLC/RAM) and liquid scintilattion counting (LSC). Two similar experimental set ups described, one for more volatile compounds (cVMS), another for less volatile compounds (DMSD). "
meth0049,ref0047,1,1,1,1,1,4,EXP,3P-Eqbm,Eqbm,Static,Organosiloxanes,wet octanol,log KOA,direct,system also contained octanol saturated water,"Both a 2-phase and 3-phase equilibrium systems were established using a custom apparatus made from 2 glass syringes where the air phases of both syringes were connected with an open valve. Each phase was sampled and analysed using reverse phase (normal phase for DMSD) high performance liquid chromatography radiometric detector (RP/NP HPLC/RAM) and liquid scintilattion counting (LSC). Two similar experimental set ups described, one for more volatile compounds (cVMS), another for less volatile compounds (DMSD). "
meth0050,ref0048,0,1,1,1,0.75,3,EST,PLS,QSPR,EST,PBDEs,dry octanol,log KOA,direct,"Model stats: R2 = 0.980, R2(CV) = 0.688, SEE = 0.179, n = 6",Partial least squares model for KOA using CoMFA method for generating descriptors. CoMFA creates a 3D lattice and cacluates the steric and electrostatic interaction energies at each lattice point. Leave-one-out cross validation used. Training and validation data from Zhao et al. 2010 (ref0045).
meth0051,ref0048,0,1,1,1,0.75,3,EST,PLS,QSPR,EST,PBDEs,dry octanol,log KOA,direct,"Model stats: R2 = 0.952, R2(CV) = 0.716, SEE = 0.274, n = 6","Partial least squares model for KOA using COMSIA method for generating descriptors. COMSIA creates a 3D lattice and uses similarity functions fuctions with 5 descriptor fields: steric, electrostatic, hydrophobic, hydrogen bond-donor, and hydrogen bond-acceptor. Leave-one-out cross validation used. Training and validation data from Zhao et al. 2010 (ref0045)."
meth0052,ref0049,0,1,0,0,0.25,1,EST,MLR,QSPR,EST,PCDDs,dry octanol,log KOA,direct,"Model stats: R2 = 0.983, SD = 0.174, n = 10, R2CV = 0.959, RMSECV = 0.25",Multiple linear regression model for KOA of PCDDs using structural parameters obtained from Gaussian98. Geometries were optimized using DFT method at B3LYP/6-31G* level. Training set from  Harner et al. (ref0020). No external validation set indicated. Model assessed using leave-one-out cross-validation analysis.
meth0053,ref0050,1,1,1,1,1,4,EXP,2P-Eqbm,Eqbm,Static,Organosiloxanes,dry octanol,log KOA,direct,conentration of chemical in octanol is varied; log KOA at 25 °C calculated using linear regression,"Equilibrium between octanol and water achived in a 100 mL gastight syringe. Air phase sampled using a cold trap and analysed with HPLC/RAM and LSC. Octanol phase sampled 6 times, 3 times before and after the air sampling with HPLC/RAM and LSC."
meth0054,ref0051,0,1,1,1,0.75,3,EST,MLR,QSPR,EST,PBDEs,dry octanol,log KOA,direct,"Model stats: R2 = 0.9844, SE = 0.2340",Multiple linear regression model for KOA of PBDEs. Molecular distance-edge vector indexes used to obtain structural descriptors. Leave one out cross validation analysis conducted. Training and test set obtained from Wania et al. 2002 (ref0019).
meth0055,ref0051,0,1,1,1,0.75,3,EST,ANN,QSPR,EST,PBDEs,dry octanol,log KOA,direct,Model stats: R2 = 0.9812,Artifical neural network used to create model for KOA of PBDEs. Molecular distance-edge vector indexes used to obtain structural descriptors. Leave one out cross validation analysis conducted. Training and test set obtained from Wania et al. 2002 (ref0019).
meth0056,ref0052,1,1,1,1,1,4,EXP,3P-Eqbm,Eqbm,Static,Organosiloxanes,wet octanol,log KOA,direct,system also contained octanol saturated water; values for log Kaw and log Kow measured at the same time; log KOA at 25 °C calculated using linear regression,"Euilibrium between all three phases was established using a custom apparatus made from 2 glass syringes where the air phases of both syringes were connected with an open valve. Each phase was sampled and analysed using reverse phase (normal phase for DMSD) high performance liquid chromatography radiometric detector (RP/NP HPLC/RAM) and liquid scintilattion counting (LSC). Two similar experimental set ups described, one for more volatile compounds (cVMS), another for less volatile compounds (DMSD)"
meth0057,ref0053,1,1,1,1,1,4,EXP,SR-GC-RT,RT,Indirect,"Phthalates, Cinnamate",dry octanol,log KOA,direct,NA,Same as Wania et al. 2002 (ref0019)
meth0058,ref0054,0,1,1,1,0.75,3,EST,PLS,QSPR,EST,PCBs,dry octanol,log KOA,direct,"Model stats: R2 = 1.00, Q2(CV) = 0.91, SE = 0.030, n = 12",Partial least squares model for KOA using CoMFA method for generating descriptors. CoMFA creates a 3D lattice and cacluates the steric and electrostatic interaction energies at each lattice point. Leave-one-out cross validation used. Training and validation data from Harner and Mackay 1995 (ref0001) and Harner and Bidleman 1996 (ref0002).
meth0059,ref0054,0,1,1,1,0.75,3,EST,PLS,QSPR,EST,PCBs,dry octanol,log KOA,direct,"Model stats: R2 = 0.987, Q2(CV) = 0.9, SE = 0.149, n = 4","Partial least squares model for KOA using COMSIA method for generating descriptors. COMSIA creates a 3D lattice and uses similarity functions fuctions with 5 descriptor fields: steric, electrostatic, hydrophobic, hydrogen bond-donor, and hydrogen bond-acceptor. Leave-one-out cross validation used. Training and validation data from Harner and Mackay 1995 (ref0001) and Harner and Bidleman 1996 (ref0002)."
meth0060,ref0055,0,1,1,1,0.75,3,EST,MLR,QSPR,EST,PCBs,dry octanol,log KOA,direct,"Model stats: R2=0.944, SEE=0.281, RMSE=0.293, n = 15, R2(ext) = 0.958",Multiple linear regression for KOA using DRAGON descriptors. The final model uses 2 descriptors. Model is based on data from Harner and Bidleman 1996 (ref0002) and Chen et al. 2002b (ref0016). Model assessed using leave-one-out cross validation.
meth0061,ref0055,0,1,1,1,0.75,3,EST,PLS,QSPR,EST,PCBs,dry octanol,log KOA,direct,"Model stats: R2=0.997, SEE=0.079, Q2=0.977, n = 15, R2(ext) = 0.989",Partial least squares analysis using substrucutral fragments obtained from SYBYL-X 2.1 HQSAR.  Model is based on data from Harner and Bidleman 1996 (ref0002) and Chen et al. 2002b (ref0016). 
meth0062,ref0056,1,1,1,1,1,4,EXP,droplet kinetics,droplet,Static,BFRs,dry octanol,log KOA,direct,NA,Desorption kinetics technique. Same method as Ha and Kwon 2010. The droplet was directly sampled and analysed using GC with an electron capture detector. 
meth0063,ref0148,0,1,1,1,0.75,3,EST,SM5.4/AM1,Solvation,EST,Diverse compounds,dry octanol,dG,direct,NA,"Continuum solvation model (SM5.4) based applied using AM1 Hamiltonian parameterization to derive the dGo, which is then used to calculate the log KOA."
meth0064,ref0058,1,1,1,1,1,4,EXP,SR-GC-RT,RT,Indirect,Organophosphate,dry octanol,log KOA,direct,NA,Same as Wania et al. 2002 (ref0019)
meth0065,ref0059,0,1,1,1,0.75,3,EST,MLR,QSPR,EST,"PAHs, CBs, PCNs, PCBs, PBDEs, PCDDS, ETC.",dry octanol,log KOA,direct,"Model stats: R2 = 0.996, RMSE = SD = 0.18, Q2(CV) = 0.996, n = 552","Mulitiple linear regression model for KOA using Abraham descriptors. Model is capable of predicting log KOA at different temperautres. Training and validation data obtained from Harner and Mackay 1995 (ref0001), Harner and Bidleman 1996 (ref0002), Harner and Bidleman 1998 (ref0008), Thuens et al. 2008 (ref0038), Harner et al. 2000 (ref0010), Shoeib and Harner 2002 (ref0007), Kömp and McLachlan 1997 (ref0004), Abraham et al. 2001 (ref0013), Su et al. 2002 (ref0018), Odabasi et al. 2006b (ref0032), Wania et al. 2002 (ref0019), Gruber et al. 1997 (ref0005), Zhang et al. 2009 (ref0043), Lei et al. 2004 (ref0022), Pinsuwan et al. 1995 (ref0099), Pegoraro et al. 2015 (ref0053), Ha and Kwon 2010 (ref0044), Goss et al. 2006 (ref0030), Xu et al. 2014, Li et al. 2003, and Abraham and Acree 2008."
meth0066,ref0060,1,1,1,1,1,4,EXP,VPHS,HS,Static,various hydrocarbons,dry octanol,KOA,direct,NA,Different volumes of octanol solution are added to separate vials. The headspace of each vial is sampled. A plot of 1/signal to the phase ratio of octanol and air yields the KOA from the intercept and slope. 
meth0067,ref0061,0,1,1,1,0.75,3,EST,PLS,QSPR,EST,PBDEs,dry octanol,log KOA,direct,"Model stats: R2 = 0.991, Q2(cum) = 0.975, SE = 0.150, p<0.001, n = 36",Partial least squares model for KOA was developed using 9 Molecular Orbital PACkage (MOPAC) quantum chemical descriptors and theoretical descriptors from CS ChemOffice. Model is capable of predicting log KOA at different temperautres.  Data from Harner and Shoeib 2002 (ref0017) was used to train the model. Model validation done by comparing model performance whne 8 KOA values are exluded. 
meth0068,ref0019,1,1,0,1,0.75,3,EXP,FM,FM,Dynamic,Alkanes,dry octanol,KOA,direct,Obtained via Personal Communication with Tom Harner (see koa_alkanes Excel file),Same methods used by Shoeib and Harner 2002 (ref0007).
meth0069,ref0148,0,1,1,1,0.75,3,EST,SM5.4/PM3,Solvation,EST,Diverse compounds,dry octanol,dG,direct,NA,"Continuum solvation model (SM5.4) based applied using PM3 Hamiltonian parameterization to derive the dGo, which is then used to calculate the log KOA."
meth0070,ref0064,1,1,0,1,0.75,3,EXP,GLC-RT,RT,Indirect,"Alkanes, Cl and Br alkyl halides",dry octanol,activity coefficient,indirect,KOA calculated using reported VP and Y of each chemical. VP is estimated and reported in paper. Activity experimentally derived using retention time and estimated vapour pressure.,Same as Bhatia and Sandler 1995 (ref0072)
