PropID,DataID,Property,Value,Prop_Type,Prop_refID,Obtained_from,From Org. Paper
prop0043,data000101,log_KOW,1.969881644,EST/EXP,ref0006,From EPA's Handbook of RCRA Ground-Water Monitoring Constituents: Chemical & Physical Properties OR calculated using Leo's fragment constant approach,TRUE
prop0044,data000102,log_KOW,1.97,EXP,ref0026,EXP value,TRUE
prop0045,data000213,log_KOW,1.97,EXP,ref0033,reported in Raevsky et al. 2006 as a exp value,TRUE
prop0046,data000706,log_KOW,2.1,EST,ref0033,reported in Raevsky et al. 2006 as a QSPR est value,TRUE
prop0047,data000110,log_KOW,-1.35,EXP,ref0026,EXP value,TRUE
prop0048,data000895,log_KOW,-1.03,EST,ref0033,reported in Raevsky et al. 2006 as a QSPR est value,TRUE
prop0049,data000113,log_KOW,-1.01,EXP,ref0026,EXP value,TRUE
prop0050,data000380,log_KOW,-1.01,EXP,ref0033,reported in Raevsky et al. 2006 as a exp value,TRUE
prop0051,data000118,log_KOW,0.25,EXP,ref0026,EXP value,TRUE
prop0052,data000120,log_KOW,0.25,EXP,ref0026,EXP value,TRUE
prop0053,data000116,log_KOW,0.25,EXP,ref0033,reported in Raevsky et al. 2006 as a exp value,TRUE
prop0054,data000585,log_KOW,0.38,EST,ref0033,reported in Raevsky et al. 2006 as a QSPR est value,TRUE
prop0055,data000129,log_KOW,0.88,EXP,ref0026,EXP value,TRUE
prop0056,data000076,log_KOW,0.88,EXP,ref0033,reported in Raevsky et al. 2006 as a exp value,TRUE
prop0057,data000559,log_KOW,1.04,EST,ref0033,reported in Raevsky et al. 2006 as a QSPR est value,TRUE
prop0058,data000135,log_KOW,1.51,EXP,ref0026,EXP value,TRUE
prop0059,data000575,log_KOW,1.53,EST,ref0033,reported in Raevsky et al. 2006 as a QSPR est value,TRUE
prop0060,data000106,log_KOW,1.56,EXP,ref0033,reported in Raevsky et al. 2006 as a exp value,TRUE
prop0061,data000662,log_KOW,2.12,EST,ref0033,reported in Raevsky et al. 2006 as a QSPR est value,TRUE
prop0062,data000140,log_KOW,2.13,EXP,ref0026,EXP value,TRUE
prop0063,data000144,log_KOW,2.13,EXP,ref0026,EXP value,TRUE
prop0064,data000186,log_KOW,2.13,EXP,ref0033,reported in Raevsky et al. 2006 as a exp value,TRUE
prop0065,data000142,log_KOW,2.13001195,EST/EXP,ref0006,From EPA's Handbook of RCRA Ground-Water Monitoring Constituents: Chemical & Physical Properties OR calculated using Leo's fragment constant approach,TRUE
prop0066,data000143,log_KOW,2.130333768,EST/EXP,ref0006,From EPA's Handbook of RCRA Ground-Water Monitoring Constituents: Chemical & Physical Properties OR calculated using Leo's fragment constant approach,TRUE
prop0067,data000518,log_KOW,2.37,EST,ref0033,reported in Raevsky et al. 2006 as a QSPR est value,TRUE
prop0068,data000156,log_KOW,2.469822016,EST/EXP,ref0006,From EPA's Handbook of RCRA Ground-Water Monitoring Constituents: Chemical & Physical Properties OR calculated using Leo's fragment constant approach,TRUE
prop0069,data000157,log_KOW,2.49,EXP,ref0026,EXP value,TRUE
prop0070,data000024,log_KOW,2.49,EXP,ref0033,reported in Raevsky et al. 2006 as a exp value,TRUE
prop0071,data000167,log_KOW,6.02,EXP,ref0026,EXP value,TRUE
prop0072,data000169,log_KOW,6.02,EXP,ref0026,EXP value,TRUE
prop0073,data000168,log_KOW,6.22,NA,ref0003,"reported in Finizio et al. 1997, originally from Finizio et al. 1997 (Determination of n-octanol/water partition coefficients…)",TRUE
prop0074,data000172,log_KOW,6.51,EXP,ref0026,EXP value,TRUE
prop0075,data000174,log_KOW,6.51,EXP,ref0026,EXP value,TRUE
prop0076,data000173,log_KOW,6.96,NA,ref0003,"reported in Finizio et al. 1997, originally from Finizio et al. 1997 (Determination of n-octanol/water partition coefficients…)",TRUE
prop0077,data000843,log_KOW,0.93,EST,ref0033,reported in Raevsky et al. 2006 as a QSPR est value,TRUE
prop0078,data000177,log_KOW,1.09,EXP,ref0026,EXP value,TRUE
prop0079,data000321,log_KOW,1.09,EXP,ref0033,reported in Raevsky et al. 2006 as a exp value,TRUE
prop0080,data000795,log_KOW,1.78,EST,ref0033,reported in Raevsky et al. 2006 as a QSPR est value,TRUE
prop0081,data000180,log_KOW,1.81,EXP,ref0026,EXP value,TRUE
prop0082,data000261,log_KOW,1.9,EXP,ref0033,reported in Raevsky et al. 2006 as a exp value,TRUE
prop0083,data000184,log_KOW,1.13,EXP,ref0026,EXP value,TRUE
prop0084,data000273,log_KOW,1.13,EXP,ref0033,reported in Raevsky et al. 2006 as a exp value,TRUE
prop0085,data000803,log_KOW,1.23,EST,ref0033,reported in Raevsky et al. 2006 as a QSPR est value,TRUE
prop0086,data000716,log_KOW,0.64,EST,ref0033,reported in Raevsky et al. 2006 as a QSPR est value,TRUE
prop0087,data000187,log_KOW,0.908485019,EST/EXP,ref0006,From EPA's Handbook of RCRA Ground-Water Monitoring Constituents: Chemical & Physical Properties OR calculated using Leo's fragment constant approach,TRUE
prop0088,data000188,log_KOW,0.91,EXP,ref0026,EXP value,TRUE
prop0089,data000215,log_KOW,0.91,EXP,ref0033,reported in Raevsky et al. 2006 as a exp value,TRUE
prop0090,data000192,log_KOW,1.480006943,EST/EXP,ref0006,From EPA's Handbook of RCRA Ground-Water Monitoring Constituents: Chemical & Physical Properties OR calculated using Leo's fragment constant approach,TRUE
prop0091,data000193,log_KOW,1.51,EXP,ref0026,EXP value,TRUE
prop0092,data000353,log_KOW,1.51,EXP,ref0033,reported in Raevsky et al. 2006 as a exp value,TRUE
prop0093,data000881,log_KOW,1.51,EST,ref0033,reported in Raevsky et al. 2006 as a QSPR est value,TRUE
prop0094,data000199,log_KOW,-0.57,EXP,ref0026,EXP value,TRUE
prop0095,data000201,log_KOW,1.071882007,EST/EXP,ref0006,From EPA's Handbook of RCRA Ground-Water Monitoring Constituents: Chemical & Physical Properties OR calculated using Leo's fragment constant approach,TRUE
prop0096,data000202,log_KOW,1.7,EXP,ref0026,EXP value,TRUE
prop0097,data000225,log_KOW,1.88,EXP,ref0033,reported in Raevsky et al. 2006 as a exp value,TRUE
prop0098,data000736,log_KOW,2.01,EST,ref0033,reported in Raevsky et al. 2006 as a QSPR est value,TRUE
prop0099,data000210,log_KOW,1.61,EXP,ref0026,EXP value,TRUE
prop0100,data000287,log_KOW,1.61,EXP,ref0033,reported in Raevsky et al. 2006 as a exp value,TRUE
prop0101,data000811,log_KOW,1.7,EST,ref0033,reported in Raevsky et al. 2006 as a QSPR est value,TRUE
prop0102,data000214,log_KOW,2.36,EXP,ref0026,EXP value,TRUE
prop0103,data000473,log_KOW,2.36,EXP,ref0033,reported in Raevsky et al. 2006 as a exp value,TRUE
prop0104,data000988,log_KOW,2.4,EST,ref0033,reported in Raevsky et al. 2006 as a QSPR est value,TRUE
prop0105,data000218,log_KOW,2,EXP,ref0026,EXP value,TRUE
prop0106,data000288,log_KOW,2,EXP,ref0033,reported in Raevsky et al. 2006 as a exp value,TRUE
prop0107,data000812,log_KOW,2.27,EST,ref0033,reported in Raevsky et al. 2006 as a QSPR est value,TRUE
prop0108,data000653,log_KOW,-0.45,EST,ref0033,reported in Raevsky et al. 2006 as a QSPR est value,TRUE
prop0109,data000222,log_KOW,-0.34,EXP,ref0026,EXP value,TRUE
prop0110,data000182,log_KOW,-0.34,EXP,ref0033,reported in Raevsky et al. 2006 as a exp value,TRUE
prop0111,data000229,log_KOW,1.25,EXP,ref0026,EXP value,TRUE
prop0112,data000233,log_KOW,1.25,EXP,ref0033,reported in Raevsky et al. 2006 as a exp value,TRUE
prop0113,data000228,log_KOW,1.250420002,EST/EXP,ref0006,From EPA's Handbook of RCRA Ground-Water Monitoring Constituents: Chemical & Physical Properties OR calculated using Leo's fragment constant approach,TRUE
prop0114,data000227,log_KOW,1.250420002,EST/EXP,ref0006,From EPA's Handbook of RCRA Ground-Water Monitoring Constituents: Chemical & Physical Properties OR calculated using Leo's fragment constant approach,TRUE
prop0115,data000740,log_KOW,1.52,EST,ref0033,reported in Raevsky et al. 2006 as a QSPR est value,TRUE
prop0116,data000238,log_KOW,1.94,EXP,ref0026,EXP value,TRUE
prop0117,data000527,log_KOW,1.65,EST,ref0033,reported in Raevsky et al. 2006 as a QSPR est value,TRUE
prop0118,data000241,log_KOW,1.79,EXP,ref0026,EXP value,TRUE
prop0119,data000044,log_KOW,1.79,EXP,ref0033,reported in Raevsky et al. 2006 as a exp value,TRUE
prop0120,data000240,log_KOW,1.790285164,EST/EXP,ref0006,From EPA's Handbook of RCRA Ground-Water Monitoring Constituents: Chemical & Physical Properties OR calculated using Leo's fragment constant approach,TRUE
prop0121,data000249,log_KOW,-0.35,EXP,ref0026,EXP value,TRUE
prop0122,data000416,log_KOW,-0.35,EXP,ref0033,reported in Raevsky et al. 2006 as a exp value,TRUE
prop0123,data000248,log_KOW,-0.301029996,EST/EXP,ref0006,From EPA's Handbook of RCRA Ground-Water Monitoring Constituents: Chemical & Physical Properties OR calculated using Leo's fragment constant approach,TRUE
prop0124,data000910,log_KOW,-0.3,EST,ref0033,reported in Raevsky et al. 2006 as a QSPR est value,TRUE
prop0125,data000255,log_KOW,0.35,EXP,ref0026,EXP value,TRUE
prop0126,data000138,log_KOW,0.35,EXP,ref0033,reported in Raevsky et al. 2006 as a exp value,TRUE
prop0127,data000621,log_KOW,0.43,EST,ref0033,reported in Raevsky et al. 2006 as a QSPR est value,TRUE
prop0128,data000260,log_KOW,1.18,EXP,ref0026,EXP value,TRUE
prop0129,data000212,log_KOW,1.18,EXP,ref0033,reported in Raevsky et al. 2006 as a exp value,TRUE
prop0130,data000705,log_KOW,1.29,EST,ref0033,reported in Raevsky et al. 2006 as a QSPR est value,TRUE
prop0131,data000266,log_KOW,2.42,EXP,ref0026,EXP value,TRUE
prop0132,data000268,log_KOW,0.46,EXP,ref0026,EXP value,TRUE
prop0133,data000620,log_KOW,0.72,EST,ref0033,reported in Raevsky et al. 2006 as a QSPR est value,TRUE
prop0134,data000271,log_KOW,0.76,EXP,ref0026,EXP value,TRUE
prop0135,data000137,log_KOW,0.76,EXP,ref0033,reported in Raevsky et al. 2006 as a exp value,TRUE
prop0136,data000278,log_KOW,1.98,EXP,ref0026,EXP value,TRUE
prop0137,data000277,log_KOW,2.280122896,EST/EXP,ref0006,From EPA's Handbook of RCRA Ground-Water Monitoring Constituents: Chemical & Physical Properties OR calculated using Leo's fragment constant approach,TRUE
prop0138,data000276,log_KOW,2.280122896,EST/EXP,ref0006,From EPA's Handbook of RCRA Ground-Water Monitoring Constituents: Chemical & Physical Properties OR calculated using Leo's fragment constant approach,TRUE
prop0139,data000284,log_KOW,0.61,EXP,ref0026,EXP value,TRUE
prop0140,data000285,log_KOW,0.61,EXP,ref0026,EXP value,TRUE
prop0141,data000122,log_KOW,0.61,EXP,ref0033,reported in Raevsky et al. 2006 as a exp value,TRUE
prop0142,data000604,log_KOW,0.73,EST,ref0033,reported in Raevsky et al. 2006 as a QSPR est value,TRUE
prop0143,data000294,log_KOW,0.255272505,EST/EXP,ref0006,From EPA's Handbook of RCRA Ground-Water Monitoring Constituents: Chemical & Physical Properties OR calculated using Leo's fragment constant approach,TRUE
prop0144,data000295,log_KOW,0.29,EXP,ref0026,EXP value,TRUE
prop0145,data000123,log_KOW,0.29,EXP,ref0033,reported in Raevsky et al. 2006 as a exp value,TRUE
prop0146,data000605,log_KOW,0.41,EST,ref0033,reported in Raevsky et al. 2006 as a QSPR est value,TRUE
prop0147,data000519,log_KOW,1.8,EST,ref0033,reported in Raevsky et al. 2006 as a QSPR est value,TRUE
prop0148,data000305,log_KOW,1.89,EXP,ref0026,EXP value,TRUE
prop0149,data000025,log_KOW,1.89,EXP,ref0033,reported in Raevsky et al. 2006 as a exp value,TRUE
prop0150,data000303,log_KOW,2.170261715,EST/EXP,ref0006,From EPA's Handbook of RCRA Ground-Water Monitoring Constituents: Chemical & Physical Properties OR calculated using Leo's fragment constant approach,TRUE
prop0151,data000304,log_KOW,2.170261715,EST/EXP,ref0006,From EPA's Handbook of RCRA Ground-Water Monitoring Constituents: Chemical & Physical Properties OR calculated using Leo's fragment constant approach,TRUE
prop0152,data000314,log_KOW,2.42,EXP,ref0026,EXP value,TRUE
prop0153,data000313,log_KOW,2.530199698,EST/EXP,ref0006,From EPA's Handbook of RCRA Ground-Water Monitoring Constituents: Chemical & Physical Properties OR calculated using Leo's fragment constant approach,TRUE
prop0154,data000318,log_KOW,0.18,EXP,ref0026,EXP value,TRUE
prop0155,data000326,log_KOW,0.18,EXP,ref0033,reported in Raevsky et al. 2006 as a exp value,TRUE
prop0156,data000864,log_KOW,0.33,EST,ref0033,reported in Raevsky et al. 2006 as a QSPR est value,TRUE
prop0157,data000323,log_KOW,0.18,EXP,ref0026,EXP value,TRUE
prop0158,data000404,log_KOW,0.18,EXP,ref0033,reported in Raevsky et al. 2006 as a exp value,TRUE
prop0159,data000904,log_KOW,0.32,EST,ref0033,reported in Raevsky et al. 2006 as a QSPR est value,TRUE
prop0160,data000329,log_KOW,3.92,EXP,ref0026,EXP value,TRUE
prop0161,data000178,log_KOW,3.92,EXP,ref0033,reported in Raevsky et al. 2006 as a exp value,TRUE
prop0162,data000647,log_KOW,3.92,EST,ref0033,reported in Raevsky et al. 2006 as a QSPR est value,TRUE
prop0163,data005547,log_KOW,4.15,NA,ref0032,value from VCCL 2004,TRUE
prop0164,data000341,log_KOW,4.46,EXP,ref0026,EXP value,TRUE
prop0165,data000348,log_KOW,4.46,EXP,ref0026,EXP value,TRUE
prop0166,data000472,log_KOW,4.46,EXP,ref0033,reported in Raevsky et al. 2006 as a exp value,TRUE
prop0167,data000987,log_KOW,4.55,EST,ref0033,reported in Raevsky et al. 2006 as a QSPR est value,TRUE
prop0168,data000346,log_KOW,4.57,NA,ref0003,"reported in Finizio et al. 1997, originally from Mackay et al. 1992",TRUE
prop0169,data005549,log_KOW,4.57,NA,ref0032,value from NLM 2004,TRUE
prop0170,data000373,log_KOW,4.18,NA,ref0003,"reported in Finizio et al. 1997, originally from Mackay et al. 1992",TRUE
prop0171,data000369,log_KOW,4.18,EXP,ref0026,EXP value,TRUE
prop0172,data000375,log_KOW,4.18,EXP,ref0026,EXP value,TRUE
prop0173,data000308,log_KOW,4.18,EXP,ref0033,reported in Raevsky et al. 2006 as a exp value,TRUE
prop0174,data005548,log_KOW,4.18,NA,ref0032,value from VCCL 2004,TRUE
prop0175,data000827,log_KOW,4.25,EST,ref0033,reported in Raevsky et al. 2006 as a QSPR est value,TRUE
prop0176,data000394,log_KOW,4.05,EXP,ref0026,EXP value,TRUE
prop0177,data000399,log_KOW,4.05,EXP,ref0026,EXP value,TRUE
prop0178,data000045,log_KOW,4.14,EXP,ref0033,reported in Raevsky et al. 2006 as a exp value,TRUE
prop0179,data000398,log_KOW,4.140004951,EST/EXP,ref0006,From EPA's Handbook of RCRA Ground-Water Monitoring Constituents: Chemical & Physical Properties OR calculated using Leo's fragment constant approach,TRUE
prop0180,data000528,log_KOW,4.23,EST,ref0033,reported in Raevsky et al. 2006 as a QSPR est value,TRUE
prop0181,data000896,log_KOW,3.07,EST,ref0033,reported in Raevsky et al. 2006 as a QSPR est value,TRUE
prop0182,data000413,log_KOW,3.3,EXP,ref0026,EXP value,TRUE
prop0183,data000381,log_KOW,3.3,EXP,ref0033,reported in Raevsky et al. 2006 as a exp value,TRUE
prop0184,data000412,log_KOW,3.369957607,EST/EXP,ref0006,From EPA's Handbook of RCRA Ground-Water Monitoring Constituents: Chemical & Physical Properties OR calculated using Leo's fragment constant approach,TRUE
prop0185,data000411,log_KOW,3.369957607,EST/EXP,ref0006,From EPA's Handbook of RCRA Ground-Water Monitoring Constituents: Chemical & Physical Properties OR calculated using Leo's fragment constant approach,TRUE
prop0186,data000426,log_KOW,3.12,EXP,ref0026,EXP value,TRUE
prop0187,data000452,log_KOW,3.12,EXP,ref0033,reported in Raevsky et al. 2006 as a exp value,TRUE
prop0188,data000978,log_KOW,3.12,EST,ref0033,reported in Raevsky et al. 2006 as a QSPR est value,TRUE
prop0189,data000424,log_KOW,3.120014252,EST/EXP,ref0006,From EPA's Handbook of RCRA Ground-Water Monitoring Constituents: Chemical & Physical Properties OR calculated using Leo's fragment constant approach,TRUE
prop0190,data000425,log_KOW,3.120014252,EST/EXP,ref0006,From EPA's Handbook of RCRA Ground-Water Monitoring Constituents: Chemical & Physical Properties OR calculated using Leo's fragment constant approach,TRUE
prop0191,data000445,log_KOW,3.380030248,EST/EXP,ref0006,From EPA's Handbook of RCRA Ground-Water Monitoring Constituents: Chemical & Physical Properties OR calculated using Leo's fragment constant approach,TRUE
prop0192,data000446,log_KOW,3.380030248,EST/EXP,ref0006,From EPA's Handbook of RCRA Ground-Water Monitoring Constituents: Chemical & Physical Properties OR calculated using Leo's fragment constant approach,TRUE
prop0193,data000441,log_KOW,3.43,EXP,ref0026,EXP value,TRUE
prop0194,data000448,log_KOW,3.43,EXP,ref0026,EXP value,TRUE
prop0195,data000055,log_KOW,3.43,EXP,ref0033,reported in Raevsky et al. 2006 as a exp value,TRUE
prop0196,data000535,log_KOW,3.5,EST,ref0033,reported in Raevsky et al. 2006 as a QSPR est value,TRUE
prop0197,data000054,log_KOW,4.6,EXP,ref0033,reported in Raevsky et al. 2006 as a exp value,TRUE
prop0198,data000464,log_KOW,4.64,EXP,ref0026,EXP value,TRUE
prop0199,data000469,log_KOW,4.64,EXP,ref0026,EXP value,TRUE
prop0200,data000534,log_KOW,4.69,EST,ref0033,reported in Raevsky et al. 2006 as a QSPR est value,TRUE
prop0201,data000475,log_KOW,0.99,EXP,ref0026,EXP value,TRUE
prop0202,data000842,log_KOW,3.56,EST,ref0033,reported in Raevsky et al. 2006 as a QSPR est value,TRUE
prop0203,data000480,log_KOW,3.66,EXP,ref0026,EXP value,TRUE
prop0204,data000320,log_KOW,3.66,EXP,ref0033,reported in Raevsky et al. 2006 as a exp value,TRUE
prop0205,data000479,log_KOW,3.660011221,EST/EXP,ref0006,From EPA's Handbook of RCRA Ground-Water Monitoring Constituents: Chemical & Physical Properties OR calculated using Leo's fragment constant approach,TRUE
prop0206,data000486,log_KOW,3.15,EXP,ref0026,EXP value,TRUE
prop0207,data000489,log_KOW,3.15,EXP,ref0026,EXP value,TRUE
prop0208,data000299,log_KOW,3.15,EXP,ref0033,reported in Raevsky et al. 2006 as a exp value,TRUE
prop0209,data000822,log_KOW,3.15,EST,ref0033,reported in Raevsky et al. 2006 as a QSPR est value,TRUE
prop0210,data000488,log_KOW,3.150142162,EST/EXP,ref0006,From EPA's Handbook of RCRA Ground-Water Monitoring Constituents: Chemical & Physical Properties OR calculated using Leo's fragment constant approach,TRUE
prop0211,data000671,log_KOW,1.36,EST,ref0033,reported in Raevsky et al. 2006 as a QSPR est value,TRUE
prop0212,data000499,log_KOW,1.56,EXP,ref0026,EXP value,TRUE
prop0213,data000189,log_KOW,1.56,EXP,ref0033,reported in Raevsky et al. 2006 as a exp value,TRUE
prop0214,data000504,log_KOW,2.11,EXP,ref0026,EXP value,TRUE
prop0215,data000185,log_KOW,2.11,EXP,ref0033,reported in Raevsky et al. 2006 as a exp value,TRUE
prop0216,data000661,log_KOW,2.16,EST,ref0033,reported in Raevsky et al. 2006 as a QSPR est value,TRUE
prop0217,data000509,log_KOW,3.679972694,EST/EXP,ref0006,From EPA's Handbook of RCRA Ground-Water Monitoring Constituents: Chemical & Physical Properties OR calculated using Leo's fragment constant approach,TRUE
prop0218,data000510,log_KOW,3.69,EXP,ref0026,EXP value,TRUE
prop0219,data000493,log_KOW,3.72,EXP,ref0033,reported in Raevsky et al. 2006 as a exp value,TRUE
prop0220,data002150,log_KOW,3.85,EST,ref0033,reported in Raevsky et al. 2006 as a QSPR est value,TRUE
prop0221,data000821,log_KOW,1.08,EST,ref0033,reported in Raevsky et al. 2006 as a QSPR est value,TRUE
prop0222,data000516,log_KOW,1.21,EXP,ref0026,EXP value,TRUE
prop0223,data000298,log_KOW,1.21,EXP,ref0033,reported in Raevsky et al. 2006 as a exp value,TRUE
prop0224,data000521,log_KOW,1.85,EXP,ref0026,EXP value,TRUE
prop0225,data002181,log_KOW,3.13,EST,ref0033,reported in Raevsky et al. 2006 as a QSPR est value,TRUE
prop0226,data000525,log_KOW,3.15,EXP,ref0026,EXP value,TRUE
prop0227,data000501,log_KOW,3.15,EXP,ref0033,reported in Raevsky et al. 2006 as a exp value,TRUE
prop0228,data000533,log_KOW,2.89,EXP,ref0026,EXP value,TRUE
prop0229,data000196,log_KOW,2.89,EXP,ref0033,reported in Raevsky et al. 2006 as a exp value,TRUE
prop0230,data000687,log_KOW,2.9,EST,ref0033,reported in Raevsky et al. 2006 as a QSPR est value,TRUE
prop0231,data000538,log_KOW,1.450249108,EST/EXP,ref0006,From EPA's Handbook of RCRA Ground-Water Monitoring Constituents: Chemical & Physical Properties OR calculated using Leo's fragment constant approach,TRUE
prop0232,data000537,log_KOW,1.450249108,EST/EXP,ref0006,From EPA's Handbook of RCRA Ground-Water Monitoring Constituents: Chemical & Physical Properties OR calculated using Leo's fragment constant approach,TRUE
prop0233,data000539,log_KOW,1.48,EXP,ref0026,EXP value,TRUE
prop0234,data000063,log_KOW,1.48,EXP,ref0033,reported in Raevsky et al. 2006 as a exp value,TRUE
prop0235,data000542,log_KOW,1.59,EST,ref0033,reported in Raevsky et al. 2006 as a QSPR est value,TRUE
prop0236,data000548,log_KOW,0.146128036,EST/EXP,ref0006,From EPA's Handbook of RCRA Ground-Water Monitoring Constituents: Chemical & Physical Properties OR calculated using Leo's fragment constant approach,TRUE
prop0237,data000549,log_KOW,0.16,EXP,ref0026,EXP value,TRUE
prop0238,data000115,log_KOW,0.53,EXP,ref0033,reported in Raevsky et al. 2006 as a exp value,TRUE
prop0239,data000584,log_KOW,0.66,EST,ref0033,reported in Raevsky et al. 2006 as a QSPR est value,TRUE
prop0240,data000875,log_KOW,-0.12,EST,ref0033,reported in Raevsky et al. 2006 as a QSPR est value,TRUE
prop0241,data000556,log_KOW,0.03,EXP,ref0026,EXP value,TRUE
prop0242,data000332,log_KOW,0.03,EXP,ref0033,reported in Raevsky et al. 2006 as a exp value,TRUE
prop0243,data000561,log_KOW,0.91,EXP,ref0026,EXP value,TRUE
prop0244,data000147,log_KOW,0.91,EXP,ref0033,reported in Raevsky et al. 2006 as a exp value,TRUE
prop0245,data000627,log_KOW,1.03,EST,ref0033,reported in Raevsky et al. 2006 as a QSPR est value,TRUE
prop0246,data000566,log_KOW,0.87,EXP,ref0026,EXP value,TRUE
prop0247,data000417,log_KOW,0.87,EXP,ref0033,reported in Raevsky et al. 2006 as a exp value,TRUE
prop0248,data000911,log_KOW,0.98,EST,ref0033,reported in Raevsky et al. 2006 as a QSPR est value,TRUE
prop0249,data000572,log_KOW,1.52,EXP,ref0026,EXP value,TRUE
prop0250,data000245,log_KOW,1.52,EXP,ref0033,reported in Raevsky et al. 2006 as a exp value,TRUE
prop0251,data000747,log_KOW,1.89,EST,ref0033,reported in Raevsky et al. 2006 as a QSPR est value,TRUE
prop0252,data000577,log_KOW,1.02,EXP,ref0026,EXP value,TRUE
